Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,StateAttributeTypeID,AgeMin,AgeMax,Value
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Albedo,1,5,0.1346
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Albedo,6,10,0.1541
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Albedo,11,,0.1141
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,1,,0
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,2,,0.037
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,3,,0.088
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,4,,0.152
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,5,,0.228
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,6,,0.312
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,7,,0.404
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,8,,0.503
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,9,,0.606
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,10,,0.712
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,11,,0.82
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,12,,0.929
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,13,,1.036
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,14,,1.141
,,California Chaparral and Oak Woodlands,,,Forest:Treated (Prescribed),Initial Conditions: Down Deadwood,15,,1.243
