Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1960,1960,0.0036,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1961,1961,0.0095,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1962,1962,0.0035,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1963,1963,0.0007,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1964,1964,0.005,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1965,1965,0.0021,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1966,1966,0.0031,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1967,1967,0.0076,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1968,1968,0.0037,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1969,1969,0.0029,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1970,1970,0.0181,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1971,1971,0.0009,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1972,1972,0.0015,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1973,1973,0.0039,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1974,1974,0.0019,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1975,1975,0.0036,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1976,1976,0.0061,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1977,1977,0.0072,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1978,1978,0.0027,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1979,1979,0.0086,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1980,1980,0.0068,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1981,1981,0.0076,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1982,1982,0.0044,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1983,1983,0.0019,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1984,1984,0.0035,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1985,1985,0.0128,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1986,1986,0.0019,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1987,1987,0.003,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1988,1988,0.0068,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1989,1989,0.0032,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1990,1990,0.0072,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1991,1991,0.0006,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1992,1992,0.0022,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1993,1993,0.0088,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1994,1994,0.006,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1995,1995,0.0038,,,,,,
,,California Chaparral and Oak Woodlands,,,Historical Rate: Fire,Historical Year: Fire,1996,1996,0.0148,,,,,,
