StratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Coast Range,2017,DROUGHT: High Severity [Type],145.922411512409,Normal,Iteration and Timestep,72.9612057562044
Cascades,2017,DROUGHT: High Severity [Type],11.1354294059201,Normal,Iteration and Timestep,5.56771470296007
Sierra Nevada,2017,DROUGHT: High Severity [Type],666.338157245356,Normal,Iteration and Timestep,333.169078622678
California Chaparral and Oak Woodlands,2017,DROUGHT: High Severity [Type],159.687241097311,Normal,Iteration and Timestep,79.8436205486553
Central California Valley,2017,DROUGHT: High Severity [Type],1.47129120715817,Normal,Iteration and Timestep,0.735645603579087
Southern California Mountains,2017,DROUGHT: High Severity [Type],3.13474484530934,Normal,Iteration and Timestep,1.56737242265467
Eastern Cascades Slopes and Foothills,2017,DROUGHT: High Severity [Type],126.841751382613,Normal,Iteration and Timestep,63.4208756913067
Central Basin and Range,2017,DROUGHT: High Severity [Type],53.0493612738046,Normal,Iteration and Timestep,26.5246806369023
Mojave Basin and Range,2017,DROUGHT: High Severity [Type],2.40431134120672,Normal,Iteration and Timestep,1.20215567060336
Klamath Mountains,2017,DROUGHT: High Severity [Type],710.224053191952,Normal,Iteration and Timestep,355.112026595976
Northern Basin and Range,2017,DROUGHT: High Severity [Type],14.1878119339053,Normal,Iteration and Timestep,7.09390596695266
Sonoran Basin and Range,2017,DROUGHT: High Severity [Type],0.00210070456523681,Normal,Iteration and Timestep,0.00105035228261841
Coast Range,2018,DROUGHT: High Severity [Type],19.3594510945841,Normal,Iteration and Timestep,9.67972554729204
Cascades,2018,DROUGHT: High Severity [Type],5.77680125417464,Normal,Iteration and Timestep,2.88840062708732
Sierra Nevada,2018,DROUGHT: High Severity [Type],173.236493158841,Normal,Iteration and Timestep,86.6182465794207
California Chaparral and Oak Woodlands,2018,DROUGHT: High Severity [Type],33.0561569809624,Normal,Iteration and Timestep,16.5280784904812
Central California Valley,2018,DROUGHT: High Severity [Type],0.401405998138216,Normal,Iteration and Timestep,0.200702999069108
Southern California Mountains,2018,DROUGHT: High Severity [Type],0.648376077642752,Normal,Iteration and Timestep,0.324188038821376
Eastern Cascades Slopes and Foothills,2018,DROUGHT: High Severity [Type],80.7021661563977,Normal,Iteration and Timestep,40.3510830781988
Central Basin and Range,2018,DROUGHT: High Severity [Type],22.0957375064486,Normal,Iteration and Timestep,11.0478687532243
Mojave Basin and Range,2018,DROUGHT: High Severity [Type],0.89417122716759,Normal,Iteration and Timestep,0.447085613583795
Klamath Mountains,2018,DROUGHT: High Severity [Type],165.359879979049,Normal,Iteration and Timestep,82.6799399895244
Northern Basin and Range,2018,DROUGHT: High Severity [Type],14.7087306485464,Normal,Iteration and Timestep,7.3543653242732
Sonoran Basin and Range,2018,DROUGHT: High Severity [Type],0.00312071845928585,Normal,Iteration and Timestep,0.00156035922964293
Coast Range,2019,DROUGHT: High Severity [Type],36.9596198106883,Normal,Iteration and Timestep,18.4798099053442
Cascades,2019,DROUGHT: High Severity [Type],12.338539571716,Normal,Iteration and Timestep,6.16926978585798
Sierra Nevada,2019,DROUGHT: High Severity [Type],423.38226351224,Normal,Iteration and Timestep,211.69113175612
California Chaparral and Oak Woodlands,2019,DROUGHT: High Severity [Type],117.23779793585,Normal,Iteration and Timestep,58.6188989679249
Central California Valley,2019,DROUGHT: High Severity [Type],1.59275897638872,Normal,Iteration and Timestep,0.796379488194361
Southern California Mountains,2019,DROUGHT: High Severity [Type],26.5871275513273,Normal,Iteration and Timestep,13.2935637756636
Eastern Cascades Slopes and Foothills,2019,DROUGHT: High Severity [Type],102.784969890294,Normal,Iteration and Timestep,51.3924849451469
Central Basin and Range,2019,DROUGHT: High Severity [Type],43.3511643654492,Normal,Iteration and Timestep,21.6755821827246
Mojave Basin and Range,2019,DROUGHT: High Severity [Type],18.1110177997252,Normal,Iteration and Timestep,9.05550889986262
Klamath Mountains,2019,DROUGHT: High Severity [Type],328.745399932406,Normal,Iteration and Timestep,164.372699966203
Northern Basin and Range,2019,DROUGHT: High Severity [Type],16.2052762084058,Normal,Iteration and Timestep,8.10263810420292
Sonoran Basin and Range,2019,DROUGHT: High Severity [Type],0.275107608380495,Normal,Iteration and Timestep,0.137553804190247
Coast Range,2020,DROUGHT: High Severity [Type],11.6679667251701,Normal,Iteration and Timestep,5.83398336258506
Cascades,2020,DROUGHT: High Severity [Type],10.0211981767934,Normal,Iteration and Timestep,5.0105990883967
Sierra Nevada,2020,DROUGHT: High Severity [Type],270.270873792326,Normal,Iteration and Timestep,135.135436896163
California Chaparral and Oak Woodlands,2020,DROUGHT: High Severity [Type],21.7519176612495,Normal,Iteration and Timestep,10.8759588306248
Central California Valley,2020,DROUGHT: High Severity [Type],0.197819328066544,Normal,Iteration and Timestep,0.0989096640332718
Southern California Mountains,2020,DROUGHT: High Severity [Type],12.2633125831635,Normal,Iteration and Timestep,6.13165629158175
Eastern Cascades Slopes and Foothills,2020,DROUGHT: High Severity [Type],183.798408159782,Normal,Iteration and Timestep,91.8992040798912
Central Basin and Range,2020,DROUGHT: High Severity [Type],43.8589528684897,Normal,Iteration and Timestep,21.9294764342449
Mojave Basin and Range,2020,DROUGHT: High Severity [Type],9.28231475060966,Normal,Iteration and Timestep,4.64115737530483
Klamath Mountains,2020,DROUGHT: High Severity [Type],131.075320688687,Normal,Iteration and Timestep,65.5376603443437
Northern Basin and Range,2020,DROUGHT: High Severity [Type],24.401553640324,Normal,Iteration and Timestep,12.200776820162
Sonoran Basin and Range,2020,DROUGHT: High Severity [Type],0.0684887859024457,Normal,Iteration and Timestep,0.0342443929512228
Coast Range,2021,DROUGHT: High Severity [Type],8.55495683156187,Normal,Iteration and Timestep,4.27747841578093
Cascades,2021,DROUGHT: High Severity [Type],8.15123879897874,Normal,Iteration and Timestep,4.07561939948937
Sierra Nevada,2021,DROUGHT: High Severity [Type],184.779523396822,Normal,Iteration and Timestep,92.3897616984109
California Chaparral and Oak Woodlands,2021,DROUGHT: High Severity [Type],14.3127518917227,Normal,Iteration and Timestep,7.15637594586133
Central California Valley,2021,DROUGHT: High Severity [Type],0.131185157202708,Normal,Iteration and Timestep,0.065592578601354
Southern California Mountains,2021,DROUGHT: High Severity [Type],15.341247166416,Normal,Iteration and Timestep,7.670623583208
Eastern Cascades Slopes and Foothills,2021,DROUGHT: High Severity [Type],83.8107484291904,Normal,Iteration and Timestep,41.9053742145952
Central Basin and Range,2021,DROUGHT: High Severity [Type],27.496567891606,Normal,Iteration and Timestep,13.748283945803
Mojave Basin and Range,2021,DROUGHT: High Severity [Type],15.1512153628955,Normal,Iteration and Timestep,7.57560768144776
Klamath Mountains,2021,DROUGHT: High Severity [Type],102.12999947631,Normal,Iteration and Timestep,51.0649997381552
Northern Basin and Range,2021,DROUGHT: High Severity [Type],4.91894432974914,Normal,Iteration and Timestep,2.45947216487457
Sonoran Basin and Range,2021,DROUGHT: High Severity [Type],0.0795314559181861,Normal,Iteration and Timestep,0.0397657279590931
Coast Range,2022,DROUGHT: High Severity [Type],20.2262486270047,Normal,Iteration and Timestep,10.1131243135023
Cascades,2022,DROUGHT: High Severity [Type],14.9929700662906,Normal,Iteration and Timestep,7.49648503314529
Sierra Nevada,2022,DROUGHT: High Severity [Type],319.724945840361,Normal,Iteration and Timestep,159.862472920181
California Chaparral and Oak Woodlands,2022,DROUGHT: High Severity [Type],64.2351810814289,Normal,Iteration and Timestep,32.1175905407144
Central California Valley,2022,DROUGHT: High Severity [Type],0.441506155955722,Normal,Iteration and Timestep,0.220753077977861
Southern California Mountains,2022,DROUGHT: High Severity [Type],48.7966497311136,Normal,Iteration and Timestep,24.3983248655568
