StratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Coast Range,2017,DROUGHT: High Severity [Type],0.0569896287217944,Normal,Iteration and Timestep,0.0284948143608972
Cascades,2017,DROUGHT: High Severity [Type],0.679714475387755,Normal,Iteration and Timestep,0.339857237693877
Sierra Nevada,2017,DROUGHT: High Severity [Type],6.07184798960407,Normal,Iteration and Timestep,3.03592399480203
California Chaparral and Oak Woodlands,2017,DROUGHT: High Severity [Type],0.338796601914964,Normal,Iteration and Timestep,0.169398300957482
Central California Valley,2017,DROUGHT: High Severity [Type],0.0024283205325446,Normal,Iteration and Timestep,0.0012141602662723
Southern California Mountains,2017,DROUGHT: High Severity [Type],0.370318454957214,Normal,Iteration and Timestep,0.185159227478607
Eastern Cascades Slopes and Foothills,2017,DROUGHT: High Severity [Type],2.74747267839984,Normal,Iteration and Timestep,1.37373633919992
Central Basin and Range,2017,DROUGHT: High Severity [Type],2.01416459330176,Normal,Iteration and Timestep,1.00708229665088
Mojave Basin and Range,2017,DROUGHT: High Severity [Type],0.403816936809108,Normal,Iteration and Timestep,0.201908468404554
Klamath Mountains,2017,DROUGHT: High Severity [Type],0.935328649674148,Normal,Iteration and Timestep,0.467664324837074
Northern Basin and Range,2017,DROUGHT: High Severity [Type],0.90777638012969,Normal,Iteration and Timestep,0.453888190064845
Sonoran Basin and Range,2017,DROUGHT: High Severity [Type],0.00263953956709884,Normal,Iteration and Timestep,0.00131976978354942
Coast Range,2018,DROUGHT: High Severity [Type],0.0569985618301416,Normal,Iteration and Timestep,0.0284992809150708
Cascades,2018,DROUGHT: High Severity [Type],0.21232979888191,Normal,Iteration and Timestep,0.106164899440955
Sierra Nevada,2018,DROUGHT: High Severity [Type],7.14708299182712,Normal,Iteration and Timestep,3.57354149591356
California Chaparral and Oak Woodlands,2018,DROUGHT: High Severity [Type],0.342248952279988,Normal,Iteration and Timestep,0.171124476139994
Central California Valley,2018,DROUGHT: High Severity [Type],0.00297202318461132,Normal,Iteration and Timestep,0.00148601159230566
Southern California Mountains,2018,DROUGHT: High Severity [Type],0.204253428422362,Normal,Iteration and Timestep,0.102126714211181
Eastern Cascades Slopes and Foothills,2018,DROUGHT: High Severity [Type],2.67841744554789,Normal,Iteration and Timestep,1.33920872277395
Central Basin and Range,2018,DROUGHT: High Severity [Type],1.39027120851324,Normal,Iteration and Timestep,0.69513560425662
Mojave Basin and Range,2018,DROUGHT: High Severity [Type],0.239573969935464,Normal,Iteration and Timestep,0.119786984967732
Klamath Mountains,2018,DROUGHT: High Severity [Type],0.613885928969694,Normal,Iteration and Timestep,0.306942964484847
Northern Basin and Range,2018,DROUGHT: High Severity [Type],2.57851704489985,Normal,Iteration and Timestep,1.28925852244993
Sonoran Basin and Range,2018,DROUGHT: High Severity [Type],0.00285667723119332,Normal,Iteration and Timestep,0.00142833861559666
Coast Range,2019,DROUGHT: High Severity [Type],0.0841044021108246,Normal,Iteration and Timestep,0.0420522010554123
Cascades,2019,DROUGHT: High Severity [Type],0.413333874369982,Normal,Iteration and Timestep,0.206666937184991
Sierra Nevada,2019,DROUGHT: High Severity [Type],7.5803630147484,Normal,Iteration and Timestep,3.7901815073742
California Chaparral and Oak Woodlands,2019,DROUGHT: High Severity [Type],0.316406972806817,Normal,Iteration and Timestep,0.158203486403409
Central California Valley,2019,DROUGHT: High Severity [Type],0.00297048165930391,Normal,Iteration and Timestep,0.00148524082965196
Southern California Mountains,2019,DROUGHT: High Severity [Type],0.196881686426423,Normal,Iteration and Timestep,0.0984408432132113
Eastern Cascades Slopes and Foothills,2019,DROUGHT: High Severity [Type],2.00684680699624,Normal,Iteration and Timestep,1.00342340349812
Central Basin and Range,2019,DROUGHT: High Severity [Type],1.79494577644846,Normal,Iteration and Timestep,0.897472888224229
Mojave Basin and Range,2019,DROUGHT: High Severity [Type],0.432919468184991,Normal,Iteration and Timestep,0.216459734092496
Klamath Mountains,2019,DROUGHT: High Severity [Type],1.26383086746318,Normal,Iteration and Timestep,0.631915433731592
Northern Basin and Range,2019,DROUGHT: High Severity [Type],0.885050318381218,Normal,Iteration and Timestep,0.442525159190609
Sonoran Basin and Range,2019,DROUGHT: High Severity [Type],0.00243773265992786,Normal,Iteration and Timestep,0.00121886632996393
Coast Range,2020,DROUGHT: High Severity [Type],0.104457376907249,Normal,Iteration and Timestep,0.0522286884536243
Cascades,2020,DROUGHT: High Severity [Type],0.342871604051197,Normal,Iteration and Timestep,0.171435802025599
Sierra Nevada,2020,DROUGHT: High Severity [Type],13.4585188700644,Normal,Iteration and Timestep,6.72925943503219
California Chaparral and Oak Woodlands,2020,DROUGHT: High Severity [Type],0.504708364213911,Normal,Iteration and Timestep,0.252354182106956
Central California Valley,2020,DROUGHT: High Severity [Type],0.00403500774336862,Normal,Iteration and Timestep,0.00201750387168431
