StratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Coast Range,2017,DROUGHT: High Severity [Type],21.8911417038908,Normal,Iteration and Timestep,10.9455708519454
Cascades,2017,DROUGHT: High Severity [Type],3.40032370387235,Normal,Iteration and Timestep,1.70016185193617
Sierra Nevada,2017,DROUGHT: High Severity [Type],17.642746182627,Normal,Iteration and Timestep,8.82137309131349
California Chaparral and Oak Woodlands,2017,DROUGHT: High Severity [Type],3.58396505915698,Normal,Iteration and Timestep,1.79198252957849
Central California Valley,2017,DROUGHT: High Severity [Type],0.0182143311367327,Normal,Iteration and Timestep,0.00910716556836633
Southern California Mountains,2017,DROUGHT: High Severity [Type],0.940538715502953,Normal,Iteration and Timestep,0.470269357751476
Eastern Cascades Slopes and Foothills,2017,DROUGHT: High Severity [Type],73.2280549552943,Normal,Iteration and Timestep,36.6140274776471
Central Basin and Range,2017,DROUGHT: High Severity [Type],3.83051551025164,Normal,Iteration and Timestep,1.91525775512582
Mojave Basin and Range,2017,DROUGHT: High Severity [Type],0.992720868484867,Normal,Iteration and Timestep,0.496360434242433
Klamath Mountains,2017,DROUGHT: High Severity [Type],156.722526960948,Normal,Iteration and Timestep,78.361263480474
Northern Basin and Range,2017,DROUGHT: High Severity [Type],4.70291086142424,Normal,Iteration and Timestep,2.35145543071212
Sonoran Basin and Range,2017,DROUGHT: High Severity [Type],0.0109042296317057,Normal,Iteration and Timestep,0.00545211481585284
Coast Range,2018,DROUGHT: High Severity [Type],0.566619167860154,Normal,Iteration and Timestep,0.283309583930077
Cascades,2018,DROUGHT: High Severity [Type],0.594668114244087,Normal,Iteration and Timestep,0.297334057122043
Sierra Nevada,2018,DROUGHT: High Severity [Type],11.1365592395105,Normal,Iteration and Timestep,5.56827961975523
California Chaparral and Oak Woodlands,2018,DROUGHT: High Severity [Type],1.3969633312563,Normal,Iteration and Timestep,0.698481665628151
Central California Valley,2018,DROUGHT: High Severity [Type],0.0100006056372877,Normal,Iteration and Timestep,0.00500030281864383
Southern California Mountains,2018,DROUGHT: High Severity [Type],1.75389964191163,Normal,Iteration and Timestep,0.876949820955815
Eastern Cascades Slopes and Foothills,2018,DROUGHT: High Severity [Type],14.1777486902292,Normal,Iteration and Timestep,7.08887434511462
Central Basin and Range,2018,DROUGHT: High Severity [Type],1.34341330757297,Normal,Iteration and Timestep,0.671706653786487
Mojave Basin and Range,2018,DROUGHT: High Severity [Type],2.0267779788519,Normal,Iteration and Timestep,1.01338898942595
Klamath Mountains,2018,DROUGHT: High Severity [Type],48.1498746091056,Normal,Iteration and Timestep,24.0749373045528
Northern Basin and Range,2018,DROUGHT: High Severity [Type],0.835704450657431,Normal,Iteration and Timestep,0.417852225328716
Sonoran Basin and Range,2018,DROUGHT: High Severity [Type],0.0157179607103899,Normal,Iteration and Timestep,0.00785898035519494
Coast Range,2019,DROUGHT: High Severity [Type],0.529267028518007,Normal,Iteration and Timestep,0.264633514259003
Cascades,2019,DROUGHT: High Severity [Type],0.311117265261601,Normal,Iteration and Timestep,0.1555586326308
Sierra Nevada,2019,DROUGHT: High Severity [Type],19.9448684969625,Normal,Iteration and Timestep,9.97243424848125
California Chaparral and Oak Woodlands,2019,DROUGHT: High Severity [Type],2.84234479601218,Normal,Iteration and Timestep,1.42117239800609
Central California Valley,2019,DROUGHT: High Severity [Type],0.0170764431150019,Normal,Iteration and Timestep,0.00853822155750095
Southern California Mountains,2019,DROUGHT: High Severity [Type],6.76924344128474,Normal,Iteration and Timestep,3.38462172064237
Eastern Cascades Slopes and Foothills,2019,DROUGHT: High Severity [Type],7.93978275165136,Normal,Iteration and Timestep,3.96989137582568
Central Basin and Range,2019,DROUGHT: High Severity [Type],2.48972879095345,Normal,Iteration and Timestep,1.24486439547672
Mojave Basin and Range,2019,DROUGHT: High Severity [Type],4.61927877228936,Normal,Iteration and Timestep,2.30963938614468
Klamath Mountains,2019,DROUGHT: High Severity [Type],29.117127522185,Normal,Iteration and Timestep,14.5585637610925
Northern Basin and Range,2019,DROUGHT: High Severity [Type],0.916446502641065,Normal,Iteration and Timestep,0.458223251320533
Sonoran Basin and Range,2019,DROUGHT: High Severity [Type],0.0348040862991184,Normal,Iteration and Timestep,0.0174020431495592
Coast Range,2020,DROUGHT: High Severity [Type],0.470089528086646,Normal,Iteration and Timestep,0.235044764043323
Cascades,2020,DROUGHT: High Severity [Type],0.447792913596459,Normal,Iteration and Timestep,0.223896456798229
Sierra Nevada,2020,DROUGHT: High Severity [Type],64.4104652811343,Normal,Iteration and Timestep,32.2052326405671
California Chaparral and Oak Woodlands,2020,DROUGHT: High Severity [Type],6.84516584887842,Normal,Iteration and Timestep,3.42258292443921
Central California Valley,2020,DROUGHT: High Severity [Type],0.0141300644136209,Normal,Iteration and Timestep,0.00706503220681043
Southern California Mountains,2020,DROUGHT: High Severity [Type],15.4080654470054,Normal,Iteration and Timestep,7.70403272350268
