Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0029187124931807
2003,CFE,Growth,1.006355701036552
2004,CFE,Growth,1.0087015821058374
2005,CFE,Growth,1.011811238406983
2006,CFE,Growth,1.0146753955264594
2007,CFE,Growth,1.0172531369339881
2008,CFE,Growth,1.0197217675941082
2009,CFE,Growth,1.0222176759410802
2010,CFE,Growth,1.0255864702673214
2011,CFE,Growth,1.027973267866885
2012,CFE,Growth,1.0309738134206219
2013,CFE,Growth,1.0346153846153845
2014,CFE,Growth,1.0375204582651392
2015,CFE,Growth,1.040493726132024
2016,CFE,Growth,1.0451036552100381
2017,CFE,Growth,1.0490487656846699
2018,CFE,Growth,1.0529938761593016
2019,CFE,Growth,1.0569389866339334
2020,CFE,Growth,1.0608840971085651
2021,CFE,Growth,1.0653923663393345
2022,CFE,Growth,1.0699006355701037
2023,CFE,Growth,1.074408904800873
2024,CFE,Growth,1.0789171740316421
2025,CFE,Growth,1.0834254432624113
2026,CFE,Growth,1.0879337124931805
2027,CFE,Growth,1.0924419817239497
2028,CFE,Growth,1.096950250954719
2029,CFE,Growth,1.1014585201854883
2030,CFE,Growth,1.1059667894162575
2031,CFE,Growth,1.1115042416803056
2032,CFE,Growth,1.1170416939443535
2033,CFE,Growth,1.1225791462084016
2034,CFE,Growth,1.1281165984724495
2035,CFE,Growth,1.1336540507364976
2036,CFE,Growth,1.1391915030005455
2037,CFE,Growth,1.1447289552645936
2038,CFE,Growth,1.1502664075286415
2039,CFE,Growth,1.1558038597926896
2040,CFE,Growth,1.1613413120567375
2041,CFE,Growth,1.1683117621385706
2042,CFE,Growth,1.1752822122204036
2043,CFE,Growth,1.1822526623022367
2044,CFE,Growth,1.1892231123840697
2045,CFE,Growth,1.1961935624659028
2046,CFE,Growth,1.2031640125477359
2047,CFE,Growth,1.210134462629569
2048,CFE,Growth,1.217104912711402
2049,CFE,Growth,1.224075362793235
2050,CFE,Growth,1.231045812875068
2051,CFE,Growth,1.2396352373158757
2052,CFE,Growth,1.248224661756683
2053,CFE,Growth,1.2568140861974904
2054,CFE,Growth,1.265403510638298
2055,CFE,Growth,1.2739929350791053
2056,CFE,Growth,1.2825823595199126
2057,CFE,Growth,1.2911717839607202
2058,CFE,Growth,1.2997612084015275
2059,CFE,Growth,1.3083506328423349
2060,CFE,Growth,1.3169400572831425
