Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0005837424986361
2003,CFE,Growth,1.0012711402073105
2004,CFE,Growth,1.0017403164211676
2005,CFE,Growth,1.0023622476813967
2006,CFE,Growth,1.0029350791052918
2007,CFE,Growth,1.0034506273867976
2008,CFE,Growth,1.0039443535188217
2009,CFE,Growth,1.004443535188216
2010,CFE,Growth,1.0051172940534643
2011,CFE,Growth,1.005594653573377
2012,CFE,Growth,1.0061947626841243
2013,CFE,Growth,1.006923076923077
2014,CFE,Growth,1.0075040916530278
2015,CFE,Growth,1.0080987452264047
2016,CFE,Growth,1.0090207310420076
2017,CFE,Growth,1.0094925450081833
2018,CFE,Growth,1.009964358974359
2019,CFE,Growth,1.0104361729405347
2020,CFE,Growth,1.0109079869067104
2021,CFE,Growth,1.011560394435352
2022,CFE,Growth,1.0122128019639935
2023,CFE,Growth,1.012865209492635
2024,CFE,Growth,1.0135176170212765
2025,CFE,Growth,1.0141700245499181
2026,CFE,Growth,1.0148224320785597
2027,CFE,Growth,1.0154748396072013
2028,CFE,Growth,1.016127247135843
2029,CFE,Growth,1.0167796546644845
2030,CFE,Growth,1.017432062193126
2031,CFE,Growth,1.018135800600109
2032,CFE,Growth,1.0188395390070921
2033,CFE,Growth,1.0195432774140754
2034,CFE,Growth,1.0202470158210584
2035,CFE,Growth,1.0209507542280414
2036,CFE,Growth,1.0216544926350246
2037,CFE,Growth,1.0223582310420076
2038,CFE,Growth,1.0230619694489906
2039,CFE,Growth,1.0237657078559739
2040,CFE,Growth,1.0244694462629569
2041,CFE,Growth,1.0251702190398255
2042,CFE,Growth,1.025870991816694
2043,CFE,Growth,1.0265717645935624
2044,CFE,Growth,1.027272537370431
2045,CFE,Growth,1.0279733101472994
2046,CFE,Growth,1.028674082924168
2047,CFE,Growth,1.0293748557010365
2048,CFE,Growth,1.0300756284779051
2049,CFE,Growth,1.0307764012547735
2050,CFE,Growth,1.0314771740316422
2051,CFE,Growth,1.0320864492635025
2052,CFE,Growth,1.0326957244953627
2053,CFE,Growth,1.0333049997272232
2054,CFE,Growth,1.0339142749590835
2055,CFE,Growth,1.0345235501909438
2056,CFE,Growth,1.035132825422804
2057,CFE,Growth,1.0357421006546645
2058,CFE,Growth,1.0363513758865248
2059,CFE,Growth,1.036960651118385
2060,CFE,Growth,1.0375699263502456
2061,CFE,Growth,1.0379908434260774
2062,CFE,Growth,1.0384117605019094
2063,CFE,Growth,1.0388326775777414
2064,CFE,Growth,1.0392535946535735
2065,CFE,Growth,1.0396745117294053
2066,CFE,Growth,1.0400954288052373
2067,CFE,Growth,1.0405163458810693
2068,CFE,Growth,1.0409372629569011
2069,CFE,Growth,1.0413581800327332
2070,CFE,Growth,1.0417790971085652
2071,CFE,Growth,1.0419655619203492
2072,CFE,Growth,1.0421520267321331
2073,CFE,Growth,1.0423384915439171
2074,CFE,Growth,1.042524956355701
2075,CFE,Growth,1.042711421167485
2076,CFE,Growth,1.042897885979269
2077,CFE,Growth,1.043084350791053
2078,CFE,Growth,1.043270815602837
2079,CFE,Growth,1.043457280414621
2080,CFE,Growth,1.043643745226405
2081,CFE,Growth,1.0437147422258592
2082,CFE,Growth,1.0437857392253136
2083,CFE,Growth,1.0438567362247682
2084,CFE,Growth,1.0439277332242225
2085,CFE,Growth,1.043998730223677
2086,CFE,Growth,1.0440697272231314
2087,CFE,Growth,1.044140724222586
2088,CFE,Growth,1.0442117212220403
2089,CFE,Growth,1.0442827182214949
2090,CFE,Growth,1.0443537152209492
2091,CFE,Growth,1.044479672122204
2092,CFE,Growth,1.0446056290234589
2093,CFE,Growth,1.0447315859247135
2094,CFE,Growth,1.0448575428259683
2095,CFE,Growth,1.0449834997272232
2096,CFE,Growth,1.045109456628478
2097,CFE,Growth,1.0452354135297326
2098,CFE,Growth,1.0453613704309874
2099,CFE,Growth,1.0454873273322423
2100,CFE,Growth,1.045613284233497
