Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0017512274959084
2003,CFE,Growth,1.0038134206219314
2004,CFE,Growth,1.0052209492635025
2005,CFE,Growth,1.0070867430441899
2006,CFE,Growth,1.0088052373158756
2007,CFE,Growth,1.0103518821603927
2008,CFE,Growth,1.011833060556465
2009,CFE,Growth,1.013330605564648
2010,CFE,Growth,1.0153518821603928
2011,CFE,Growth,1.016783960720131
2012,CFE,Growth,1.0185842880523732
2013,CFE,Growth,1.0207692307692309
2014,CFE,Growth,1.0225122749590834
2015,CFE,Growth,1.0242962356792145
2016,CFE,Growth,1.0270621931260229
2017,CFE,Growth,1.02847763502455
2018,CFE,Growth,1.029893076923077
2019,CFE,Growth,1.031308518821604
2020,CFE,Growth,1.0327239607201308
2021,CFE,Growth,1.0346811833060556
2022,CFE,Growth,1.0366384058919804
2023,CFE,Growth,1.038595628477905
2024,CFE,Growth,1.0405528510638298
2025,CFE,Growth,1.0425100736497546
2026,CFE,Growth,1.0444672962356791
2027,CFE,Growth,1.046424518821604
2028,CFE,Growth,1.0483817414075287
2029,CFE,Growth,1.0503389639934533
2030,CFE,Growth,1.052296186579378
2031,CFE,Growth,1.0544074018003273
2032,CFE,Growth,1.0565186170212766
2033,CFE,Growth,1.0586298322422258
2034,CFE,Growth,1.060741047463175
2035,CFE,Growth,1.0628522626841244
2036,CFE,Growth,1.0649634779050736
2037,CFE,Growth,1.0670746931260229
2038,CFE,Growth,1.0691859083469721
2039,CFE,Growth,1.0712971235679214
2040,CFE,Growth,1.0734083387888707
2041,CFE,Growth,1.0755106571194764
2042,CFE,Growth,1.0776129754500818
2043,CFE,Growth,1.0797152937806875
2044,CFE,Growth,1.081817612111293
2045,CFE,Growth,1.0839199304418985
2046,CFE,Growth,1.0860222487725042
2047,CFE,Growth,1.0881245671031097
2048,CFE,Growth,1.0902268854337152
2049,CFE,Growth,1.0923292037643209
2050,CFE,Growth,1.0944315220949263
2051,CFE,Growth,1.0962593477905074
2052,CFE,Growth,1.0980871734860884
2053,CFE,Growth,1.0999149991816695
2054,CFE,Growth,1.1017428248772505
2055,CFE,Growth,1.1035706505728315
2056,CFE,Growth,1.1053984762684124
2057,CFE,Growth,1.1072263019639934
2058,CFE,Growth,1.1090541276595745
2059,CFE,Growth,1.1108819533551555
2060,CFE,Growth,1.1127097790507365
2061,CFE,Growth,1.1139725302782324
2062,CFE,Growth,1.1152352815057283
2063,CFE,Growth,1.1164980327332241
2064,CFE,Growth,1.1177607839607202
2065,CFE,Growth,1.119023535188216
2066,CFE,Growth,1.120286286415712
2067,CFE,Growth,1.121549037643208
2068,CFE,Growth,1.1228117888707039
2069,CFE,Growth,1.1240745400981997
2070,CFE,Growth,1.1253372913256956
2071,CFE,Growth,1.1258966857610475
2072,CFE,Growth,1.1264560801963994
2073,CFE,Growth,1.1270154746317513
2074,CFE,Growth,1.1275748690671032
2075,CFE,Growth,1.1281342635024552
2076,CFE,Growth,1.1286936579378068
2077,CFE,Growth,1.1292530523731588
2078,CFE,Growth,1.1298124468085107
2079,CFE,Growth,1.1303718412438626
2080,CFE,Growth,1.1309312356792143
2081,CFE,Growth,1.1311442266775777
2082,CFE,Growth,1.131357217675941
2083,CFE,Growth,1.1315702086743045
2084,CFE,Growth,1.1317831996726677
2085,CFE,Growth,1.1319961906710312
2086,CFE,Growth,1.1322091816693944
2087,CFE,Growth,1.1324221726677577
2088,CFE,Growth,1.1326351636661212
2089,CFE,Growth,1.1328481546644844
2090,CFE,Growth,1.1330611456628479
2091,CFE,Growth,1.1334390163666122
2092,CFE,Growth,1.1338168870703764
2093,CFE,Growth,1.1341947577741407
2094,CFE,Growth,1.1345726284779052
2095,CFE,Growth,1.1349504991816695
2096,CFE,Growth,1.1353283698854337
2097,CFE,Growth,1.135706240589198
2098,CFE,Growth,1.1360841112929623
2099,CFE,Growth,1.1364619819967265
2100,CFE,Growth,1.136839852700491
