Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0023349699945445
2003,CFE,Growth,1.0050845608292418
2004,CFE,Growth,1.00696126568467
2005,CFE,Growth,1.0094489907255866
2006,CFE,Growth,1.0117403164211676
2007,CFE,Growth,1.0138025095471905
2008,CFE,Growth,1.0157774140752864
2009,CFE,Growth,1.0177741407528642
2010,CFE,Growth,1.0204691762138571
2011,CFE,Growth,1.0223786142935078
2012,CFE,Growth,1.0247790507364976
2013,CFE,Growth,1.0276923076923077
2014,CFE,Growth,1.0300163666121114
2015,CFE,Growth,1.0323949809056192
2016,CFE,Growth,1.0360829241680305
2017,CFE,Growth,1.0379701800327332
2018,CFE,Growth,1.039857435897436
2019,CFE,Growth,1.0417446917621385
2020,CFE,Growth,1.0436319476268412
2021,CFE,Growth,1.0462415777414076
2022,CFE,Growth,1.0488512078559737
2023,CFE,Growth,1.0514608379705401
2024,CFE,Growth,1.0540704680851063
2025,CFE,Growth,1.0566800981996727
2026,CFE,Growth,1.0592897283142388
2027,CFE,Growth,1.0618993584288052
2028,CFE,Growth,1.0645089885433714
2029,CFE,Growth,1.0671186186579378
2030,CFE,Growth,1.0697282487725042
2031,CFE,Growth,1.0725432024004364
2032,CFE,Growth,1.0753581560283687
2033,CFE,Growth,1.0781731096563012
2034,CFE,Growth,1.0809880632842335
2035,CFE,Growth,1.083803016912166
2036,CFE,Growth,1.0866179705400982
2037,CFE,Growth,1.0894329241680305
2038,CFE,Growth,1.092247877795963
2039,CFE,Growth,1.0950628314238953
2040,CFE,Growth,1.0978777850518275
2041,CFE,Growth,1.1006808761593017
2042,CFE,Growth,1.1034839672667758
2043,CFE,Growth,1.10628705837425
2044,CFE,Growth,1.109090149481724
2045,CFE,Growth,1.1118932405891981
2046,CFE,Growth,1.114696331696672
2047,CFE,Growth,1.1174994228041462
2048,CFE,Growth,1.1203025139116203
2049,CFE,Growth,1.1231056050190944
2050,CFE,Growth,1.1259086961265685
2051,CFE,Growth,1.1283457970540098
2052,CFE,Growth,1.1307828979814512
2053,CFE,Growth,1.1332199989088925
2054,CFE,Growth,1.135657099836334
2055,CFE,Growth,1.1380942007637753
2056,CFE,Growth,1.1405313016912166
2057,CFE,Growth,1.142968402618658
2058,CFE,Growth,1.1454055035460993
2059,CFE,Growth,1.1478426044735406
2060,CFE,Growth,1.150279705400982
2061,CFE,Growth,1.15196337370431
2062,CFE,Growth,1.1536470420076377
2063,CFE,Growth,1.1553307103109656
2064,CFE,Growth,1.1570143786142935
2065,CFE,Growth,1.1586980469176213
2066,CFE,Growth,1.1603817152209492
2067,CFE,Growth,1.1620653835242774
2068,CFE,Growth,1.163749051827605
2069,CFE,Growth,1.165432720130933
2070,CFE,Growth,1.1671163884342608
2071,CFE,Growth,1.1678622476813967
2072,CFE,Growth,1.1686081069285326
2073,CFE,Growth,1.1693539661756684
2074,CFE,Growth,1.1700998254228043
2075,CFE,Growth,1.17084568466994
2076,CFE,Growth,1.1715915439170759
2077,CFE,Growth,1.1723374031642115
2078,CFE,Growth,1.1730832624113474
2079,CFE,Growth,1.1738291216584833
2080,CFE,Growth,1.1745749809056192
2081,CFE,Growth,1.174858968903437
2082,CFE,Growth,1.1751429569012548
2083,CFE,Growth,1.1754269448990726
2084,CFE,Growth,1.1757109328968904
2085,CFE,Growth,1.1759949208947083
2086,CFE,Growth,1.1762789088925258
2087,CFE,Growth,1.1765628968903437
2088,CFE,Growth,1.1768468848881615
2089,CFE,Growth,1.1771308728859793
2090,CFE,Growth,1.177414860883797
2091,CFE,Growth,1.1779186884888162
2092,CFE,Growth,1.178422516093835
2093,CFE,Growth,1.1789263436988544
2094,CFE,Growth,1.1794301713038735
2095,CFE,Growth,1.1799339989088926
2096,CFE,Growth,1.1804378265139115
2097,CFE,Growth,1.1809416541189308
2098,CFE,Growth,1.18144548172395
2099,CFE,Growth,1.1819493093289688
2100,CFE,Growth,1.182453136933988
