Timestep,FlowMultiplierTypeID,FlowGroupID,Value
2002,CFE,Growth,1.0011674849972723
2003,CFE,Growth,1.002542280414621
2004,CFE,Growth,1.003480632842335
2005,CFE,Growth,1.0047244953627932
2006,CFE,Growth,1.0058701582105838
2007,CFE,Growth,1.0069012547735952
2008,CFE,Growth,1.0078887070376432
2009,CFE,Growth,1.008887070376432
2010,CFE,Growth,1.0102345881069286
2011,CFE,Growth,1.011189307146754
2012,CFE,Growth,1.0123895253682489
2013,CFE,Growth,1.0138461538461538
2014,CFE,Growth,1.0150081833060556
2015,CFE,Growth,1.0161974904528095
2016,CFE,Growth,1.0180414620840152
2017,CFE,Growth,1.019619506273868
2018,CFE,Growth,1.0211975504637207
2019,CFE,Growth,1.0227755946535733
2020,CFE,Growth,1.024353638843426
2021,CFE,Growth,1.0261569465357339
2022,CFE,Growth,1.0279602542280415
2023,CFE,Growth,1.0297635619203491
2024,CFE,Growth,1.0315668696126568
2025,CFE,Growth,1.0333701773049646
2026,CFE,Growth,1.0351734849972722
2027,CFE,Growth,1.0369767926895799
2028,CFE,Growth,1.0387801003818877
2029,CFE,Growth,1.0405834080741954
2030,CFE,Growth,1.042386715766503
2031,CFE,Growth,1.0446016966721223
2032,CFE,Growth,1.0468166775777414
2033,CFE,Growth,1.0490316584833606
2034,CFE,Growth,1.0512466393889799
2035,CFE,Growth,1.053461620294599
2036,CFE,Growth,1.0556766012002183
2037,CFE,Growth,1.0578915821058374
2038,CFE,Growth,1.0601065630114566
2039,CFE,Growth,1.062321543917076
2040,CFE,Growth,1.064536524822695
2041,CFE,Growth,1.0673247048554282
2042,CFE,Growth,1.0701128848881616
2043,CFE,Growth,1.0729010649208948
2044,CFE,Growth,1.075689244953628
2045,CFE,Growth,1.0784774249863611
2046,CFE,Growth,1.0812656050190943
2047,CFE,Growth,1.0840537850518275
2048,CFE,Growth,1.0868419650845609
2049,CFE,Growth,1.089630145117294
2050,CFE,Growth,1.0924183251500272
2051,CFE,Growth,1.0958540949263502
2052,CFE,Growth,1.0992898647026732
2053,CFE,Growth,1.1027256344789962
2054,CFE,Growth,1.1061614042553192
2055,CFE,Growth,1.1095971740316422
2056,CFE,Growth,1.1130329438079651
2057,CFE,Growth,1.1164687135842881
2058,CFE,Growth,1.1199044833606109
2059,CFE,Growth,1.1233402531369339
2060,CFE,Growth,1.1267760229132568
