Timestep,StratumID,FlowGroupID,Value
2002,California Chaparral and Oak Woodlands,Growth,1.001050736497545
2003,California Chaparral and Oak Woodlands,Growth,1.0022880523731588
2004,California Chaparral and Oak Woodlands,Growth,1.0031325695581015
2005,California Chaparral and Oak Woodlands,Growth,1.0042520458265138
2006,California Chaparral and Oak Woodlands,Growth,1.0052831423895254
2007,California Chaparral and Oak Woodlands,Growth,1.0062111292962357
2008,California Chaparral and Oak Woodlands,Growth,1.007099836333879
2009,California Chaparral and Oak Woodlands,Growth,1.0079983633387888
2010,California Chaparral and Oak Woodlands,Growth,1.0092111292962356
2011,California Chaparral and Oak Woodlands,Growth,1.0100703764320786
2012,California Chaparral and Oak Woodlands,Growth,1.0111505728314238
2013,California Chaparral and Oak Woodlands,Growth,1.0124615384615385
2014,California Chaparral and Oak Woodlands,Growth,1.01350736497545
2015,California Chaparral and Oak Woodlands,Growth,1.0145777414075285
2016,California Chaparral and Oak Woodlands,Growth,1.0162373158756137
2017,California Chaparral and Oak Woodlands,Growth,1.01708658101473
2018,California Chaparral and Oak Woodlands,Growth,1.0179358461538461
2019,California Chaparral and Oak Woodlands,Growth,1.0187851112929625
2020,California Chaparral and Oak Woodlands,Growth,1.0196343764320785
2021,California Chaparral and Oak Woodlands,Growth,1.0208087099836334
2022,California Chaparral and Oak Woodlands,Growth,1.0219830435351882
2023,California Chaparral and Oak Woodlands,Growth,1.023157377086743
2024,California Chaparral and Oak Woodlands,Growth,1.0243317106382979
2025,California Chaparral and Oak Woodlands,Growth,1.0255060441898527
2026,California Chaparral and Oak Woodlands,Growth,1.0266803777414075
2027,California Chaparral and Oak Woodlands,Growth,1.0278547112929624
2028,California Chaparral and Oak Woodlands,Growth,1.0290290448445172
2029,California Chaparral and Oak Woodlands,Growth,1.030203378396072
2030,California Chaparral and Oak Woodlands,Growth,1.0313777119476268
2031,California Chaparral and Oak Woodlands,Growth,1.0326444410801965
2032,California Chaparral and Oak Woodlands,Growth,1.033911170212766
2033,California Chaparral and Oak Woodlands,Growth,1.0351778993453356
2034,California Chaparral and Oak Woodlands,Growth,1.036444628477905
2035,California Chaparral and Oak Woodlands,Growth,1.0377113576104746
2036,California Chaparral and Oak Woodlands,Growth,1.0389780867430443
2037,California Chaparral and Oak Woodlands,Growth,1.0402448158756137
2038,California Chaparral and Oak Woodlands,Growth,1.0415115450081833
2039,California Chaparral and Oak Woodlands,Growth,1.042778274140753
2040,California Chaparral and Oak Woodlands,Growth,1.0440450032733224
2041,California Chaparral and Oak Woodlands,Growth,1.0453063942716858
2042,California Chaparral and Oak Woodlands,Growth,1.046567785270049
2043,California Chaparral and Oak Woodlands,Growth,1.0478291762684124
2044,California Chaparral and Oak Woodlands,Growth,1.0490905672667759
2045,California Chaparral and Oak Woodlands,Growth,1.050351958265139
2046,California Chaparral and Oak Woodlands,Growth,1.0516133492635025
2047,California Chaparral and Oak Woodlands,Growth,1.052874740261866
2048,California Chaparral and Oak Woodlands,Growth,1.054136131260229
2049,California Chaparral and Oak Woodlands,Growth,1.0553975222585925
2050,California Chaparral and Oak Woodlands,Growth,1.0566589132569557
