year,rcp26,rcp45,rcp60,rcp85
2000,368.865,368.865,368.865,368.865
2001,370.8545,370.8545,370.8545,370.8545
2002,372.844,372.844,372.844,372.844
2003,374.8335,374.8335,374.8335,374.8335
2004,376.823,376.823,376.823,376.823
2005,378.8125,378.8125,378.8125,378.8125
2006,380.907042,380.87557,380.8643,380.914832
2007,383.001584,382.93864,382.9161,383.017164
2008,385.096126,385.00171,384.9679,385.119496
2009,387.190668,387.06478,387.0197,387.221828
2010,389.28521,389.12785,389.0715,389.32416
2011,391.563472,391.327933,391.100376,391.969766
2012,393.841734,393.528016,393.129252,394.615372
2013,396.119996,395.728099,395.158128,397.260978
2014,398.398258,397.928182,397.187004,399.906584
2015,400.67652,400.128265,399.21588,402.55219
2016,402.954782,402.328348,401.244756,405.197796
2017,405.233044,404.528431,403.273632,407.843402
2018,407.511306,406.728514,405.302508,410.489008
2019,409.789568,408.928597,407.331384,413.134614
2020,412.06783,411.12868,409.36026,415.78022
2021,413.939362,413.520406,411.311863,419.085683
2022,415.810894,415.912132,413.263466,422.391146
2023,417.682426,418.303858,415.215069,425.696609
2024,419.553958,420.695584,417.166672,429.002072
2025,421.42549,423.08731,419.118275,432.307535
2026,423.297022,425.479036,421.069878,435.612998
2027,425.168554,427.870762,423.021481,438.918461
2028,427.040086,430.262488,424.973084,442.223924
2029,428.911618,432.654214,426.924687,445.529387
2030,430.78315,435.04594,428.87629,448.83485
2031,431.727075,437.625845,431.058472,452.89491
2032,432.671,440.20575,433.240654,456.95497
2033,433.614925,442.785655,435.422836,461.01503
2034,434.55885,445.36556,437.605018,465.07509
2035,435.502775,447.945465,439.7872,469.13515
2036,436.4467,450.52537,441.969382,473.19521
2037,437.390625,453.105275,444.151564,477.25527
2038,438.33455,455.68518,446.333746,481.31533
2039,439.278475,458.265085,448.515928,485.37539
2040,440.2224,460.84499,450.69811,489.43545
2041,440.470206,463.414023,453.395342,494.546184
2042,440.718012,465.983056,456.092574,499.656918
2043,440.965818,468.552089,458.789806,504.767652
2044,441.213624,471.121122,461.487038,509.878386
2045,441.46143,473.690155,464.18427,514.98912
2046,441.709236,476.259188,466.881502,520.099854
2047,441.957042,478.828221,469.578734,525.210588
2048,442.204848,481.397254,472.275966,530.321322
2049,442.452654,483.966287,474.973198,535.432056
2050,442.70046,486.53532,477.67043,540.54279
2051,442.597688,488.768923,480.96683,546.840556
2052,442.494916,491.002526,484.26323,553.138322
2053,442.392144,493.236129,487.55963,559.436088
2054,442.289372,495.469732,490.85603,565.733854
2055,442.1866,497.703335,494.15243,572.03162
2056,442.083828,499.936938,497.44883,578.329386
2057,441.981056,502.170541,500.74523,584.627152
2058,441.878284,504.404144,504.04163,590.924918
2059,441.775512,506.637747,507.33803,597.222684
2060,441.67274,508.87135,510.63443,603.52045
2061,441.253528,510.414432,514.552976,610.876167
2062,440.834316,511.957514,518.471522,618.231884
2063,440.415104,513.500596,522.390068,625.587601
2064,439.995892,515.043678,526.308614,632.943318
2065,439.57668,516.58676,530.22716,640.299035
2066,439.157468,518.129842,534.145706,647.654752
2067,438.738256,519.672924,538.064252,655.010469
2068,438.319044,521.216006,541.982798,662.366186
2069,437.899832,522.759088,545.901344,669.721903
2070,437.48062,524.30217,549.81989,677.07762
2071,436.894217,524.98575,554.263584,685.188088
2072,436.307814,525.66933,558.707278,693.298556
2073,435.721411,526.35291,563.150972,701.409024
2074,435.135008,527.03649,567.594666,709.519492
2075,434.548605,527.72007,572.03836,717.62996
2076,433.962202,528.40365,576.482054,725.740428
2077,433.375799,529.08723,580.925748,733.850896
2078,432.789396,529.77081,585.369442,741.961364
2079,432.202993,530.45439,589.813136,750.071832
2080,431.61659,531.13797,594.25683,758.1823
2081,431.055403,531.398245,598.396023,766.844541
2082,430.494216,531.65852,602.535216,775.506782
2083,429.933029,531.918795,606.674409,784.169023
2084,429.371842,532.17907,610.813602,792.831264
2085,428.810655,532.439345,614.952795,801.493505
2086,428.249468,532.69962,619.091988,810.155746
2087,427.688281,532.959895,623.231181,818.817987
2088,427.127094,533.22017,627.370374,827.480228
2089,426.565907,533.480445,631.509567,836.142469
2090,426.00472,533.74072,635.64876,844.80471
2091,425.493794,534.202478,639.056201,853.911676
2092,424.982868,534.664236,642.463642,863.018642
2093,424.471942,535.125994,645.871083,872.125608
2094,423.961016,535.587752,649.278524,881.232574
2095,423.45009,536.04951,652.685965,890.33954
2096,422.939164,536.511268,656.093406,899.446506
2097,422.428238,536.973026,659.500847,908.553472
2098,421.917312,537.434784,662.908288,917.660438
2099,421.406386,537.896542,666.315729,926.767404
2100,420.89546,538.3583,669.72317,935.87437
