Iteration,Timestep,FromStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,Multiplier
,,,Grassland:All,,Down Deadwood,,,,Litter,,,Decay,0.08
,,,Grassland:All,,Standing Deadwood,,,,Down Deadwood,,,Deadfall,0.1
,,California Chaparral and Oak Woodlands,Grassland:All,,Litter,,,,Atmosphere,,,Emission (litter),0.256
,,California Chaparral and Oak Woodlands,Grassland:All,,Litter,,,,Soil,,,Decomposition,0.269
,,California Chaparral and Oak Woodlands,Grassland:All,,Living Biomass,,,,Litter,,,Litterfall,1
,,California Chaparral and Oak Woodlands,Grassland:All,,Soil,,,,Aquatic,,,Leaching,0.0001
,,California Chaparral and Oak Woodlands,Grassland:All,,Soil,,,,Atmosphere,,,Emission (soil),0.0148
,,Cascades,Grassland:All,,Litter,,,,Atmosphere,,,Emission (litter),0.2303
,,Cascades,Grassland:All,,Litter,,,,Soil,,,Decomposition,0.2429
,,Cascades,Grassland:All,,Living Biomass,,,,Litter,,,Litterfall,1
,,Cascades,Grassland:All,,Soil,,,,Aquatic,,,Leaching,0.0013
,,Cascades,Grassland:All,,Soil,,,,Atmosphere,,,Emission (soil),0.0192
,,Central Basin and Range,Grassland:All,,Litter,,,,Atmosphere,,,Emission (litter),0.121
,,Central Basin and Range,Grassland:All,,Litter,,,,Soil,,,Decomposition,0.1275
,,Central Basin and Range,Grassland:All,,Living Biomass,,,,Litter,,,Litterfall,1
,,Central Basin and Range,Grassland:All,,Soil,,,,Aquatic,,,Leaching,0.0001
,,Central Basin and Range,Grassland:All,,Soil,,,,Atmosphere,,,Emission (soil),0.0117
,,Central California Valley,Grassland:All,,Litter,,,,Atmosphere,,,Emission (litter),0.2284
,,Central California Valley,Grassland:All,,Litter,,,,Soil,,,Decomposition,0.2399
,,Central California Valley,Grassland:All,,Living Biomass,,,,Litter,,,Litterfall,1
,,Central California Valley,Grassland:All,,Soil,,,,Aquatic,,,Leaching,0
,,Central California Valley,Grassland:All,,Soil,,,,Atmosphere,,,Emission (soil),0.0213
,,Coast Range,Grassland:All,,Litter,,,,Atmosphere,,,Emission (litter),0.2443
