StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,78
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2e3,2e3,82
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2001,2001,89
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2002,2002,96
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2003,2003,63
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2004,2004,117
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2005,2005,100
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2006,2006,88
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,119
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,110
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,85
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,48
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,68
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,51
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,18
Coast Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2014,2014,23
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,3
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2e3,2e3,2
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2001,2001,0
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2002,2002,9
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2003,2003,4
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2004,2004,1
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2005,2005,8
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2006,2006,1
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,2
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,22
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,14
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,1
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,21
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,11
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,6
Cascades,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2014,2014,3
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,89
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2e3,2e3,157
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2001,2001,121
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2002,2002,158
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2003,2003,212
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2004,2004,240
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2005,2005,301
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2006,2006,177
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,172
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,256
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,171
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,84
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,144
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,94
Sierra Nevada,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,58
