Timestep,StratumID,TransitionGroupID,MaximumArea,RelativeAmount
2002,,Management: Forest Clearcut [Type],1,0.752555137
2002,,Management: Forest Clearcut [Type],2,0.148197956
2002,,Management: Forest Clearcut [Type],3,0.042495966
2002,,Management: Forest Clearcut [Type],4,0.024744486
2002,,Management: Forest Clearcut [Type],5,0.010758472
2002,,Management: Forest Clearcut [Type],6,0.006186122
2002,,Management: Forest Clearcut [Type],7,0.002689618
2002,,Management: Forest Clearcut [Type],8,0.002420656
2002,,Management: Forest Clearcut [Type],9,0.003227542
2002,,Management: Forest Clearcut [Type],10,0.001613771
2002,,Management: Forest Clearcut [Type],34,0.005110274
2002,,Management: Forest Selection [Type],1,0.69273743
2002,,Management: Forest Selection [Type],2,0.173982442
2002,,Management: Forest Selection [Type],3,0.055865922
2002,,Management: Forest Selection [Type],4,0.023144453
2002,,Management: Forest Selection [Type],5,0.01556265
2002,,Management: Forest Selection [Type],6,0.009177973
2002,,Management: Forest Selection [Type],7,0.003192338
2002,,Management: Forest Selection [Type],8,0.003990423
2002,,Management: Forest Selection [Type],9,0.004788508
2002,,Management: Forest Selection [Type],10,0.001995211
2002,,Management: Forest Selection [Type],34,0.01556265
