Timestep,StratumID,TransitionGroupID,Amount
2002,Coast Range,Fire: High Severity [Type],0.148
2002,Cascades,Fire: High Severity [Type],0
2002,Sierra Nevada,Fire: High Severity [Type],0.214
2002,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.21
2002,Central California Valley,Fire: High Severity [Type],0.06
2002,Southern California Mountains,Fire: High Severity [Type],0.246
2002,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.164
2002,Central Basin and Range,Fire: High Severity [Type],0.128
2002,Mojave Basin and Range,Fire: High Severity [Type],0.051
2002,Klamath Mountains,Fire: High Severity [Type],0.2
2002,Northern Basin and Range,Fire: High Severity [Type],0.037
2002,Sonoran Basin and Range,Fire: High Severity [Type],0.067
2002,Coast Range,Fire: Medium Severity [Type],0.308
2002,Cascades,Fire: Medium Severity [Type],0.316
2002,Sierra Nevada,Fire: Medium Severity [Type],0.413
2002,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.391
2002,Central California Valley,Fire: Medium Severity [Type],0.201
2002,Southern California Mountains,Fire: Medium Severity [Type],0.434
2002,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.361
2002,Central Basin and Range,Fire: Medium Severity [Type],0.395
2002,Mojave Basin and Range,Fire: Medium Severity [Type],0.293
2002,Klamath Mountains,Fire: Medium Severity [Type],0.392
2002,Northern Basin and Range,Fire: Medium Severity [Type],0.313
2002,Sonoran Basin and Range,Fire: Medium Severity [Type],0.283
2002,Coast Range,Fire: Low Severity [Type],0.544
2002,Cascades,Fire: Low Severity [Type],0.684
2002,Sierra Nevada,Fire: Low Severity [Type],0.372
2002,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.399
2002,Central California Valley,Fire: Low Severity [Type],0.739
2002,Southern California Mountains,Fire: Low Severity [Type],0.32
2002,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.475
2002,Central Basin and Range,Fire: Low Severity [Type],0.477
2002,Mojave Basin and Range,Fire: Low Severity [Type],0.655
2002,Klamath Mountains,Fire: Low Severity [Type],0.408
2002,Northern Basin and Range,Fire: Low Severity [Type],0.651
2002,Sonoran Basin and Range,Fire: Low Severity [Type],0.65
2016,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.211722
2016,Cascades,Fire: High Severity [Type],0
2016,Central Basin and Range,Fire: High Severity [Type],0.12904960000000001
2016,Central California Valley,Fire: High Severity [Type],0.060492
2016,Coast Range,Fire: High Severity [Type],0.1492136
2016,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.16534480000000001
2016,Klamath Mountains,Fire: High Severity [Type],0.20164
2016,Mojave Basin and Range,Fire: High Severity [Type],0.0514182
2016,Northern Basin and Range,Fire: High Severity [Type],0.0373034
2016,Sierra Nevada,Fire: High Severity [Type],0.2157548
2016,Sonoran Basin and Range,Fire: High Severity [Type],0.06754940000000001
2016,Southern California Mountains,Fire: High Severity [Type],0.2480172
2016,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.39014771898734174
2016,Cascades,Fire: Medium Severity [Type],0.316
2016,Central Basin and Range,Fire: Medium Severity [Type],0.39452455045871565
2016,Central California Valley,Fire: Medium Severity [Type],0.2008947957446809
2016,Coast Range,Fire: Medium Severity [Type],0.30756128075117367
2016,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.3604192909090909
2016,Klamath Mountains,Fire: Medium Severity [Type],0.3911964
2016,Mojave Basin and Range,Fire: Medium Severity [Type],0.2931798179324895
2016,Northern Basin and Range,Fire: Medium Severity [Type],0.31257680062240667
2016,Sierra Nevada,Fire: Medium Severity [Type],0.41260288866242034
2016,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2828333545551982
2016,Southern California Mountains,Fire: Medium Severity [Type],0.43283890610079573
2016,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.3981302810126583
2016,Cascades,Fire: Low Severity [Type],0.684
2016,Central Basin and Range,Fire: Low Severity [Type],0.4764258495412844
2016,Central California Valley,Fire: Low Severity [Type],0.7386132042553192
2016,Coast Range,Fire: Low Severity [Type],0.5432251192488263
2016,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.4742359090909092
2016,Klamath Mountains,Fire: Low Severity [Type],0.4071635999999999
2016,Mojave Basin and Range,Fire: Low Severity [Type],0.6554019820675107
2016,Northern Basin and Range,Fire: Low Severity [Type],0.6501197993775935
2016,Sierra Nevada,Fire: Low Severity [Type],0.37164231133757963
2016,Sonoran Basin and Range,Fire: Low Severity [Type],0.6496172454448017
2016,Southern California Mountains,Fire: Low Severity [Type],0.3191438938992042
2017,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.213444
2017,Cascades,Fire: High Severity [Type],0
2017,Central Basin and Range,Fire: High Severity [Type],0.1300992
2017,Central California Valley,Fire: High Severity [Type],0.060984
2017,Coast Range,Fire: High Severity [Type],0.15042719999999998
2017,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.1666896
2017,Klamath Mountains,Fire: High Severity [Type],0.20328000000000002
2017,Mojave Basin and Range,Fire: High Severity [Type],0.0518364
2017,Northern Basin and Range,Fire: High Severity [Type],0.037606799999999996
2017,Sierra Nevada,Fire: High Severity [Type],0.2175096
2017,Sonoran Basin and Range,Fire: High Severity [Type],0.0680988
2017,Southern California Mountains,Fire: High Severity [Type],0.2500344
2017,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.3892954379746835
2017,Cascades,Fire: Medium Severity [Type],0.316
2017,Central Basin and Range,Fire: Medium Severity [Type],0.3940491009174312
2017,Central California Valley,Fire: Medium Severity [Type],0.20078959148936174
2017,Coast Range,Fire: Medium Severity [Type],0.3071225615023474
2017,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.35983858181818185
2017,Klamath Mountains,Fire: Medium Severity [Type],0.3903928
2017,Mojave Basin and Range,Fire: Medium Severity [Type],0.2930505641350211
2017,Northern Basin and Range,Fire: Medium Severity [Type],0.31247829004149374
2017,Sierra Nevada,Fire: Medium Severity [Type],0.41167966267515926
2017,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2826667091103965
2017,Southern California Mountains,Fire: Medium Severity [Type],0.4316778122015915
2017,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.3972605620253165
2017,Cascades,Fire: Low Severity [Type],0.684
2017,Central Basin and Range,Fire: Low Severity [Type],0.47585169908256886
2017,Central California Valley,Fire: Low Severity [Type],0.7382264085106383
2017,Coast Range,Fire: Low Severity [Type],0.5424502384976526
2017,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.4734718181818182
2017,Klamath Mountains,Fire: Low Severity [Type],0.4063271999999999
2017,Mojave Basin and Range,Fire: Low Severity [Type],0.6551130358649789
2017,Northern Basin and Range,Fire: Low Severity [Type],0.6499149099585062
2017,Sierra Nevada,Fire: Low Severity [Type],0.3708107373248408
2017,Sonoran Basin and Range,Fire: Low Severity [Type],0.6492344908896034
2017,Southern California Mountains,Fire: Low Severity [Type],0.3182877877984085
2018,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.215166
2018,Cascades,Fire: High Severity [Type],0
2018,Central Basin and Range,Fire: High Severity [Type],0.1311488
2018,Central California Valley,Fire: High Severity [Type],0.061475999999999996
2018,Coast Range,Fire: High Severity [Type],0.1516408
2018,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.1680344
