Timestep,StratumID,TransitionGroupID,Amount
2002,Coast Range,Fire: High Severity [Type],0.148
2002,Cascades,Fire: High Severity [Type],0
2002,Sierra Nevada,Fire: High Severity [Type],0.214
2002,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.21
2002,Central California Valley,Fire: High Severity [Type],0.06
2002,Southern California Mountains,Fire: High Severity [Type],0.246
2002,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.164
2002,Central Basin and Range,Fire: High Severity [Type],0.128
2002,Mojave Basin and Range,Fire: High Severity [Type],0.051
2002,Klamath Mountains,Fire: High Severity [Type],0.2
2002,Northern Basin and Range,Fire: High Severity [Type],0.037
2002,Sonoran Basin and Range,Fire: High Severity [Type],0.067
2002,Coast Range,Fire: Medium Severity [Type],0.308
2002,Cascades,Fire: Medium Severity [Type],0.316
2002,Sierra Nevada,Fire: Medium Severity [Type],0.413
2002,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.391
2002,Central California Valley,Fire: Medium Severity [Type],0.201
2002,Southern California Mountains,Fire: Medium Severity [Type],0.434
2002,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.361
2002,Central Basin and Range,Fire: Medium Severity [Type],0.395
2002,Mojave Basin and Range,Fire: Medium Severity [Type],0.293
2002,Klamath Mountains,Fire: Medium Severity [Type],0.392
2002,Northern Basin and Range,Fire: Medium Severity [Type],0.313
2002,Sonoran Basin and Range,Fire: Medium Severity [Type],0.283
2002,Coast Range,Fire: Low Severity [Type],0.544
2002,Cascades,Fire: Low Severity [Type],0.684
2002,Sierra Nevada,Fire: Low Severity [Type],0.372
2002,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.399
2002,Central California Valley,Fire: Low Severity [Type],0.739
2002,Southern California Mountains,Fire: Low Severity [Type],0.32
2002,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.475
2002,Central Basin and Range,Fire: Low Severity [Type],0.477
2002,Mojave Basin and Range,Fire: Low Severity [Type],0.655
2002,Klamath Mountains,Fire: Low Severity [Type],0.408
2002,Northern Basin and Range,Fire: Low Severity [Type],0.651
2002,Sonoran Basin and Range,Fire: Low Severity [Type],0.65
2016,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.210735
2016,Cascades,Fire: High Severity [Type],0
2016,Central Basin and Range,Fire: High Severity [Type],0.128448
2016,Central California Valley,Fire: High Severity [Type],0.06021
2016,Coast Range,Fire: High Severity [Type],0.148518
2016,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.16457400000000003
2016,Klamath Mountains,Fire: High Severity [Type],0.20070000000000002
2016,Mojave Basin and Range,Fire: High Severity [Type],0.0511785
2016,Northern Basin and Range,Fire: High Severity [Type],0.0371295
2016,Sierra Nevada,Fire: High Severity [Type],0.214749
2016,Sonoran Basin and Range,Fire: High Severity [Type],0.0672345
2016,Southern California Mountains,Fire: High Severity [Type],0.246861
2016,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.3906362215189873
2016,Cascades,Fire: Medium Severity [Type],0.316
2016,Central Basin and Range,Fire: Medium Severity [Type],0.3947970642201835
2016,Central California Valley,Fire: Medium Severity [Type],0.20095509574468087
2016,Coast Range,Fire: Medium Severity [Type],0.3078127417840375
2016,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.36075213636363634
2016,Klamath Mountains,Fire: Medium Severity [Type],0.391657
2016,Mojave Basin and Range,Fire: Medium Severity [Type],0.29325390242616034
2016,Northern Basin and Range,Fire: Medium Severity [Type],0.31263326400414937
2016,Sierra Nevada,Fire: Medium Severity [Type],0.4131320547770701
2016,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2829288708467309
2016,Southern California Mountains,Fire: Medium Severity [Type],0.4335044111405835
2016,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.3986287784810127
2016,Cascades,Fire: Low Severity [Type],0.684
2016,Central Basin and Range,Fire: Low Severity [Type],0.47675493577981654
2016,Central California Valley,Fire: Low Severity [Type],0.7388349042553192
2016,Coast Range,Fire: Low Severity [Type],0.5436692582159625
2016,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.47467386363636366
2016,Klamath Mountains,Fire: Low Severity [Type],0.4076429999999999
2016,Mojave Basin and Range,Fire: Low Severity [Type],0.6555675975738398
2016,Northern Basin and Range,Fire: Low Severity [Type],0.6502372359958506
2016,Sierra Nevada,Fire: Low Severity [Type],0.37211894522293
2016,Sonoran Basin and Range,Fire: Low Severity [Type],0.649836629153269
2016,Southern California Mountains,Fire: Low Severity [Type],0.3196345888594165
2017,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.21146999999999996
2017,Cascades,Fire: High Severity [Type],0
2017,Central Basin and Range,Fire: High Severity [Type],0.12889599999999998
2017,Central California Valley,Fire: High Severity [Type],0.060419999999999995
2017,Coast Range,Fire: High Severity [Type],0.14903599999999997
2017,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.165148
2017,Klamath Mountains,Fire: High Severity [Type],0.2014
2017,Mojave Basin and Range,Fire: High Severity [Type],0.05135699999999999
2017,Northern Basin and Range,Fire: High Severity [Type],0.037258999999999994
2017,Sierra Nevada,Fire: High Severity [Type],0.21549799999999997
2017,Sonoran Basin and Range,Fire: High Severity [Type],0.067469
2017,Southern California Mountains,Fire: High Severity [Type],0.24772199999999997
2017,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.3902724430379747
2017,Cascades,Fire: Medium Severity [Type],0.316
2017,Central Basin and Range,Fire: Medium Severity [Type],0.394594128440367
2017,Central California Valley,Fire: Medium Severity [Type],0.20091019148936173
2017,Coast Range,Fire: Medium Severity [Type],0.30762548356807506
2017,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.36050427272727276
2017,Klamath Mountains,Fire: Medium Severity [Type],0.391314
2017,Mojave Basin and Range,Fire: Medium Severity [Type],0.2931987331223629
2017,Northern Basin and Range,Fire: Medium Severity [Type],0.31259121680497925
2017,Sierra Nevada,Fire: Medium Severity [Type],0.4127379949044586
2017,Sonoran Basin and Range,Fire: Medium Severity [Type],0.2828577416934619
2017,Southern California Mountains,Fire: Medium Severity [Type],0.4330088222811671
2017,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.39825755696202536
2017,Cascades,Fire: Low Severity [Type],0.684
2017,Central Basin and Range,Fire: Low Severity [Type],0.47650987155963304
2017,Central California Valley,Fire: Low Severity [Type],0.7386698085106382
2017,Coast Range,Fire: Low Severity [Type],0.5433385164319249
2017,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.47434772727272734
2017,Klamath Mountains,Fire: Low Severity [Type],0.4072859999999999
2017,Mojave Basin and Range,Fire: Low Severity [Type],0.6554442668776372
2017,Northern Basin and Range,Fire: Low Severity [Type],0.6501497831950208
2017,Sierra Nevada,Fire: Low Severity [Type],0.37176400509554147
2017,Sonoran Basin and Range,Fire: Low Severity [Type],0.649673258306538
2017,Southern California Mountains,Fire: Low Severity [Type],0.3192691777188329
2018,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.21220499999999998
2018,Cascades,Fire: High Severity [Type],0
2018,Central Basin and Range,Fire: High Severity [Type],0.129344
2018,Central California Valley,Fire: High Severity [Type],0.060629999999999996
2018,Coast Range,Fire: High Severity [Type],0.149554
2018,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.165722
