StratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Coast Range,2017,Drought: High Severity [Type],145.9224115,Normal,Iteration and Timestep,72.96120576
Cascades,2017,Drought: High Severity [Type],11.13542941,Normal,Iteration and Timestep,5.567714703
Sierra Nevada,2017,Drought: High Severity [Type],666.3381572,Normal,Iteration and Timestep,333.1690786
California Chaparral and Oak Woodlands,2017,Drought: High Severity [Type],159.6872411,Normal,Iteration and Timestep,79.84362055
Central California Valley,2017,Drought: High Severity [Type],1.471291207,Normal,Iteration and Timestep,0.735645604
Southern California Mountains,2017,Drought: High Severity [Type],3.134744845,Normal,Iteration and Timestep,1.567372423
Eastern Cascades Slopes and Foothills,2017,Drought: High Severity [Type],126.8417514,Normal,Iteration and Timestep,63.42087569
Central Basin and Range,2017,Drought: High Severity [Type],53.04936127,Normal,Iteration and Timestep,26.52468064
Mojave Basin and Range,2017,Drought: High Severity [Type],2.404311341,Normal,Iteration and Timestep,1.202155671
Klamath Mountains,2017,Drought: High Severity [Type],710.2240532,Normal,Iteration and Timestep,355.1120266
Northern Basin and Range,2017,Drought: High Severity [Type],14.18781193,Normal,Iteration and Timestep,7.093905967
Sonoran Basin and Range,2017,Drought: High Severity [Type],0.002100705,Normal,Iteration and Timestep,0.001050352
Coast Range,2018,Drought: High Severity [Type],19.35945109,Normal,Iteration and Timestep,9.679725547
Cascades,2018,Drought: High Severity [Type],5.776801254,Normal,Iteration and Timestep,2.888400627
Sierra Nevada,2018,Drought: High Severity [Type],173.2364932,Normal,Iteration and Timestep,86.61824658
California Chaparral and Oak Woodlands,2018,Drought: High Severity [Type],33.05615698,Normal,Iteration and Timestep,16.52807849
Central California Valley,2018,Drought: High Severity [Type],0.401405998,Normal,Iteration and Timestep,0.200702999
Southern California Mountains,2018,Drought: High Severity [Type],0.648376078,Normal,Iteration and Timestep,0.324188039
Eastern Cascades Slopes and Foothills,2018,Drought: High Severity [Type],80.70216616,Normal,Iteration and Timestep,40.35108308
Central Basin and Range,2018,Drought: High Severity [Type],22.09573751,Normal,Iteration and Timestep,11.04786875
Mojave Basin and Range,2018,Drought: High Severity [Type],0.894171227,Normal,Iteration and Timestep,0.447085614
Klamath Mountains,2018,Drought: High Severity [Type],165.35988,Normal,Iteration and Timestep,82.67993999
Northern Basin and Range,2018,Drought: High Severity [Type],14.70873065,Normal,Iteration and Timestep,7.354365324
Sonoran Basin and Range,2018,Drought: High Severity [Type],0.003120718,Normal,Iteration and Timestep,0.001560359
Coast Range,2019,Drought: High Severity [Type],36.95961981,Normal,Iteration and Timestep,18.47980991
Cascades,2019,Drought: High Severity [Type],12.33853957,Normal,Iteration and Timestep,6.169269786
Sierra Nevada,2019,Drought: High Severity [Type],423.3822635,Normal,Iteration and Timestep,211.6911318
California Chaparral and Oak Woodlands,2019,Drought: High Severity [Type],117.2377979,Normal,Iteration and Timestep,58.61889897
Central California Valley,2019,Drought: High Severity [Type],1.592758976,Normal,Iteration and Timestep,0.796379488
Southern California Mountains,2019,Drought: High Severity [Type],26.58712755,Normal,Iteration and Timestep,13.29356378
Eastern Cascades Slopes and Foothills,2019,Drought: High Severity [Type],102.7849699,Normal,Iteration and Timestep,51.39248495
Central Basin and Range,2019,Drought: High Severity [Type],43.35116437,Normal,Iteration and Timestep,21.67558218
Mojave Basin and Range,2019,Drought: High Severity [Type],18.1110178,Normal,Iteration and Timestep,9.0555089
Klamath Mountains,2019,Drought: High Severity [Type],328.7453999,Normal,Iteration and Timestep,164.3727
Northern Basin and Range,2019,Drought: High Severity [Type],16.20527621,Normal,Iteration and Timestep,8.102638104
Sonoran Basin and Range,2019,Drought: High Severity [Type],0.275107608,Normal,Iteration and Timestep,0.137553804
Coast Range,2020,Drought: High Severity [Type],11.66796673,Normal,Iteration and Timestep,5.833983363
Cascades,2020,Drought: High Severity [Type],10.02119818,Normal,Iteration and Timestep,5.010599088
Sierra Nevada,2020,Drought: High Severity [Type],270.2708738,Normal,Iteration and Timestep,135.1354369
California Chaparral and Oak Woodlands,2020,Drought: High Severity [Type],21.75191766,Normal,Iteration and Timestep,10.87595883
Central California Valley,2020,Drought: High Severity [Type],0.197819328,Normal,Iteration and Timestep,0.098909664
Southern California Mountains,2020,Drought: High Severity [Type],12.26331258,Normal,Iteration and Timestep,6.131656292
Eastern Cascades Slopes and Foothills,2020,Drought: High Severity [Type],183.7984082,Normal,Iteration and Timestep,91.89920408
Central Basin and Range,2020,Drought: High Severity [Type],43.85895287,Normal,Iteration and Timestep,21.92947643
Mojave Basin and Range,2020,Drought: High Severity [Type],9.282314751,Normal,Iteration and Timestep,4.641157375
Klamath Mountains,2020,Drought: High Severity [Type],131.0753207,Normal,Iteration and Timestep,65.53766034
Northern Basin and Range,2020,Drought: High Severity [Type],24.40155364,Normal,Iteration and Timestep,12.20077682
Sonoran Basin and Range,2020,Drought: High Severity [Type],0.068488786,Normal,Iteration and Timestep,0.034244393
Coast Range,2021,Drought: High Severity [Type],8.554956832,Normal,Iteration and Timestep,4.277478416
Cascades,2021,Drought: High Severity [Type],8.151238799,Normal,Iteration and Timestep,4.075619399
Sierra Nevada,2021,Drought: High Severity [Type],184.7795234,Normal,Iteration and Timestep,92.3897617
California Chaparral and Oak Woodlands,2021,Drought: High Severity [Type],14.31275189,Normal,Iteration and Timestep,7.156375946
Central California Valley,2021,Drought: High Severity [Type],0.131185157,Normal,Iteration and Timestep,0.065592579
Southern California Mountains,2021,Drought: High Severity [Type],15.34124717,Normal,Iteration and Timestep,7.670623583
Eastern Cascades Slopes and Foothills,2021,Drought: High Severity [Type],83.81074843,Normal,Iteration and Timestep,41.90537421
Central Basin and Range,2021,Drought: High Severity [Type],27.49656789,Normal,Iteration and Timestep,13.74828395
Mojave Basin and Range,2021,Drought: High Severity [Type],15.15121536,Normal,Iteration and Timestep,7.575607681
Klamath Mountains,2021,Drought: High Severity [Type],102.1299995,Normal,Iteration and Timestep,51.06499974
Northern Basin and Range,2021,Drought: High Severity [Type],4.91894433,Normal,Iteration and Timestep,2.459472165
Sonoran Basin and Range,2021,Drought: High Severity [Type],0.079531456,Normal,Iteration and Timestep,0.039765728
Coast Range,2022,Drought: High Severity [Type],20.22624863,Normal,Iteration and Timestep,10.11312431
Cascades,2022,Drought: High Severity [Type],14.99297007,Normal,Iteration and Timestep,7.496485033
Sierra Nevada,2022,Drought: High Severity [Type],319.7249458,Normal,Iteration and Timestep,159.8624729
California Chaparral and Oak Woodlands,2022,Drought: High Severity [Type],64.23518108,Normal,Iteration and Timestep,32.11759054
Central California Valley,2022,Drought: High Severity [Type],0.441506156,Normal,Iteration and Timestep,0.220753078
Southern California Mountains,2022,Drought: High Severity [Type],48.79664973,Normal,Iteration and Timestep,24.39832487
Eastern Cascades Slopes and Foothills,2022,Drought: High Severity [Type],96.68609881,Normal,Iteration and Timestep,48.34304941
Central Basin and Range,2022,Drought: High Severity [Type],20.96400838,Normal,Iteration and Timestep,10.48200419
Mojave Basin and Range,2022,Drought: High Severity [Type],38.77136547,Normal,Iteration and Timestep,19.38568274
Klamath Mountains,2022,Drought: High Severity [Type],205.6802347,Normal,Iteration and Timestep,102.8401173
Northern Basin and Range,2022,Drought: High Severity [Type],2.756521459,Normal,Iteration and Timestep,1.37826073
Sonoran Basin and Range,2022,Drought: High Severity [Type],0.514553632,Normal,Iteration and Timestep,0.257276816
Coast Range,2023,Drought: High Severity [Type],267.7840917,Normal,Iteration and Timestep,133.8920458
Cascades,2023,Drought: High Severity [Type],50.63265604,Normal,Iteration and Timestep,25.31632802
Sierra Nevada,2023,Drought: High Severity [Type],752.8198251,Normal,Iteration and Timestep,376.4099125
California Chaparral and Oak Woodlands,2023,Drought: High Severity [Type],879.2105105,Normal,Iteration and Timestep,439.6052553
Central California Valley,2023,Drought: High Severity [Type],3.517121258,Normal,Iteration and Timestep,1.758560629
