StratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Coast Range,2017,Drought: High Severity [Type],5.046934555,Normal,Iteration and Timestep,2.523467278
Cascades,2017,Drought: High Severity [Type],12.16191076,Normal,Iteration and Timestep,6.08095538
Sierra Nevada,2017,Drought: High Severity [Type],237.4130825,Normal,Iteration and Timestep,118.7065413
California Chaparral and Oak Woodlands,2017,Drought: High Severity [Type],20.72415408,Normal,Iteration and Timestep,10.36207704
Central California Valley,2017,Drought: High Severity [Type],0.077926249,Normal,Iteration and Timestep,0.038963124
Southern California Mountains,2017,Drought: High Severity [Type],13.22568342,Normal,Iteration and Timestep,6.61284171
Eastern Cascades Slopes and Foothills,2017,Drought: High Severity [Type],65.94692225,Normal,Iteration and Timestep,32.97346113
Central Basin and Range,2017,Drought: High Severity [Type],18.99885871,Normal,Iteration and Timestep,9.499429354
Mojave Basin and Range,2017,Drought: High Severity [Type],8.779174207,Normal,Iteration and Timestep,4.389587104
Klamath Mountains,2017,Drought: High Severity [Type],145.0011774,Normal,Iteration and Timestep,72.50058869
Northern Basin and Range,2017,Drought: High Severity [Type],6.113637478,Normal,Iteration and Timestep,3.056818739
Sonoran Basin and Range,2017,Drought: High Severity [Type],0.032132708,Normal,Iteration and Timestep,0.016066354
Coast Range,2018,Drought: High Severity [Type],1.337353714,Normal,Iteration and Timestep,0.668676857
Cascades,2018,Drought: High Severity [Type],4.706066484,Normal,Iteration and Timestep,2.353033242
Sierra Nevada,2018,Drought: High Severity [Type],115.4256857,Normal,Iteration and Timestep,57.71284285
California Chaparral and Oak Woodlands,2018,Drought: High Severity [Type],9.206887475,Normal,Iteration and Timestep,4.603443738
Central California Valley,2018,Drought: High Severity [Type],0.032709861,Normal,Iteration and Timestep,0.01635493
Southern California Mountains,2018,Drought: High Severity [Type],7.581077205,Normal,Iteration and Timestep,3.790538602
Eastern Cascades Slopes and Foothills,2018,Drought: High Severity [Type],41.74594637,Normal,Iteration and Timestep,20.87297319
Central Basin and Range,2018,Drought: High Severity [Type],13.57142795,Normal,Iteration and Timestep,6.785713976
Mojave Basin and Range,2018,Drought: High Severity [Type],3.273170348,Normal,Iteration and Timestep,1.636585174
Klamath Mountains,2018,Drought: High Severity [Type],49.12203012,Normal,Iteration and Timestep,24.56101506
Northern Basin and Range,2018,Drought: High Severity [Type],5.378051586,Normal,Iteration and Timestep,2.689025793
Sonoran Basin and Range,2018,Drought: High Severity [Type],0.029886748,Normal,Iteration and Timestep,0.014943374
Coast Range,2019,Drought: High Severity [Type],1.04770617,Normal,Iteration and Timestep,0.523853085
Cascades,2019,Drought: High Severity [Type],4.068208389,Normal,Iteration and Timestep,2.034104194
Sierra Nevada,2019,Drought: High Severity [Type],114.1060048,Normal,Iteration and Timestep,57.05300238
California Chaparral and Oak Woodlands,2019,Drought: High Severity [Type],17.81531977,Normal,Iteration and Timestep,8.907659886
Central California Valley,2019,Drought: High Severity [Type],0.049943713,Normal,Iteration and Timestep,0.024971857
Southern California Mountains,2019,Drought: High Severity [Type],14.45510433,Normal,Iteration and Timestep,7.227552167
Eastern Cascades Slopes and Foothills,2019,Drought: High Severity [Type],39.35234744,Normal,Iteration and Timestep,19.67617372
Central Basin and Range,2019,Drought: High Severity [Type],36.79533552,Normal,Iteration and Timestep,18.39766776
Mojave Basin and Range,2019,Drought: High Severity [Type],3.569444791,Normal,Iteration and Timestep,1.784722396
Klamath Mountains,2019,Drought: High Severity [Type],22.73630811,Normal,Iteration and Timestep,11.36815406
Northern Basin and Range,2019,Drought: High Severity [Type],8.649943708,Normal,Iteration and Timestep,4.324971854
Sonoran Basin and Range,2019,Drought: High Severity [Type],0.059024801,Normal,Iteration and Timestep,0.0295124
Coast Range,2020,Drought: High Severity [Type],4.346665023,Normal,Iteration and Timestep,2.173332511
Cascades,2020,Drought: High Severity [Type],5.137581744,Normal,Iteration and Timestep,2.568790872
Sierra Nevada,2020,Drought: High Severity [Type],251.5961849,Normal,Iteration and Timestep,125.7980925
California Chaparral and Oak Woodlands,2020,Drought: High Severity [Type],47.40013329,Normal,Iteration and Timestep,23.70006664
Central California Valley,2020,Drought: High Severity [Type],0.196863586,Normal,Iteration and Timestep,0.098431793
Southern California Mountains,2020,Drought: High Severity [Type],42.30412267,Normal,Iteration and Timestep,21.15206134
Eastern Cascades Slopes and Foothills,2020,Drought: High Severity [Type],55.69483374,Normal,Iteration and Timestep,27.84741687
Central Basin and Range,2020,Drought: High Severity [Type],52.7605425,Normal,Iteration and Timestep,26.38027125
Mojave Basin and Range,2020,Drought: High Severity [Type],20.13624964,Normal,Iteration and Timestep,10.06812482
Klamath Mountains,2020,Drought: High Severity [Type],45.98610469,Normal,Iteration and Timestep,22.99305235
Northern Basin and Range,2020,Drought: High Severity [Type],11.57753395,Normal,Iteration and Timestep,5.788766973
Sonoran Basin and Range,2020,Drought: High Severity [Type],0.205027356,Normal,Iteration and Timestep,0.102513678
Coast Range,2021,Drought: High Severity [Type],19.0453175,Normal,Iteration and Timestep,9.522658749
Cascades,2021,Drought: High Severity [Type],5.56996937,Normal,Iteration and Timestep,2.784984685
Sierra Nevada,2021,Drought: High Severity [Type],450.501669,Normal,Iteration and Timestep,225.2508345
California Chaparral and Oak Woodlands,2021,Drought: High Severity [Type],284.5457752,Normal,Iteration and Timestep,142.2728876
Central California Valley,2021,Drought: High Severity [Type],1.110022535,Normal,Iteration and Timestep,0.555011268
Southern California Mountains,2021,Drought: High Severity [Type],192.7519471,Normal,Iteration and Timestep,96.37597353
Eastern Cascades Slopes and Foothills,2021,Drought: High Severity [Type],50.51636859,Normal,Iteration and Timestep,25.25818429
Central Basin and Range,2021,Drought: High Severity [Type],77.12925665,Normal,Iteration and Timestep,38.56462833
Mojave Basin and Range,2021,Drought: High Severity [Type],60.08147369,Normal,Iteration and Timestep,30.04073685
Klamath Mountains,2021,Drought: High Severity [Type],78.65463134,Normal,Iteration and Timestep,39.32731567
Northern Basin and Range,2021,Drought: High Severity [Type],7.40102573,Normal,Iteration and Timestep,3.700512865
Sonoran Basin and Range,2021,Drought: High Severity [Type],1.152259398,Normal,Iteration and Timestep,0.576129699
