StratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Coast Range,2017,Drought: High Severity [Type],16.91497525,Normal,Iteration and Timestep,8.457487625
Cascades,2017,Drought: High Severity [Type],1.215500967,Normal,Iteration and Timestep,0.607750484
Sierra Nevada,2017,Drought: High Severity [Type],31.050005,Normal,Iteration and Timestep,15.5250025
California Chaparral and Oak Woodlands,2017,Drought: High Severity [Type],15.21770466,Normal,Iteration and Timestep,7.608852329
Central California Valley,2017,Drought: High Severity [Type],0.053834852,Normal,Iteration and Timestep,0.026917426
Southern California Mountains,2017,Drought: High Severity [Type],2.607599438,Normal,Iteration and Timestep,1.303799719
Eastern Cascades Slopes and Foothills,2017,Drought: High Severity [Type],3.646806058,Normal,Iteration and Timestep,1.823403029
Central Basin and Range,2017,Drought: High Severity [Type],0.575073365,Normal,Iteration and Timestep,0.287536682
Mojave Basin and Range,2017,Drought: High Severity [Type],1.174315177,Normal,Iteration and Timestep,0.587157588
Klamath Mountains,2017,Drought: High Severity [Type],94.66862769,Normal,Iteration and Timestep,47.33431384
Northern Basin and Range,2017,Drought: High Severity [Type],0.045443917,Normal,Iteration and Timestep,0.022721958
Sonoran Basin and Range,2017,Drought: High Severity [Type],0.014583321,Normal,Iteration and Timestep,0.007291661
Coast Range,2018,Drought: High Severity [Type],1.719479477,Normal,Iteration and Timestep,0.859739738
Cascades,2018,Drought: High Severity [Type],0.090382204,Normal,Iteration and Timestep,0.045191102
Sierra Nevada,2018,Drought: High Severity [Type],10.31140171,Normal,Iteration and Timestep,5.155700857
California Chaparral and Oak Woodlands,2018,Drought: High Severity [Type],6.974502637,Normal,Iteration and Timestep,3.487251318
Central California Valley,2018,Drought: High Severity [Type],0.022265406,Normal,Iteration and Timestep,0.011132703
Southern California Mountains,2018,Drought: High Severity [Type],4.25063214,Normal,Iteration and Timestep,2.12531607
Eastern Cascades Slopes and Foothills,2018,Drought: High Severity [Type],0.456270688,Normal,Iteration and Timestep,0.228135344
Central Basin and Range,2018,Drought: High Severity [Type],0.502065984,Normal,Iteration and Timestep,0.251032992
Mojave Basin and Range,2018,Drought: High Severity [Type],2.081154573,Normal,Iteration and Timestep,1.040577287
Klamath Mountains,2018,Drought: High Severity [Type],14.87681702,Normal,Iteration and Timestep,7.438408508
Northern Basin and Range,2018,Drought: High Severity [Type],0.020441406,Normal,Iteration and Timestep,0.010220703
Sonoran Basin and Range,2018,Drought: High Severity [Type],0.015305502,Normal,Iteration and Timestep,0.007652751
Coast Range,2019,Drought: High Severity [Type],4.018721556,Normal,Iteration and Timestep,2.009360778
Cascades,2019,Drought: High Severity [Type],0.480239604,Normal,Iteration and Timestep,0.240119802
Sierra Nevada,2019,Drought: High Severity [Type],17.76786963,Normal,Iteration and Timestep,8.883934813
California Chaparral and Oak Woodlands,2019,Drought: High Severity [Type],7.574859688,Normal,Iteration and Timestep,3.787429844
Central California Valley,2019,Drought: High Severity [Type],0.032730103,Normal,Iteration and Timestep,0.016365052
Southern California Mountains,2019,Drought: High Severity [Type],2.674601848,Normal,Iteration and Timestep,1.337300924
Eastern Cascades Slopes and Foothills,2019,Drought: High Severity [Type],2.109913903,Normal,Iteration and Timestep,1.054956952
Central Basin and Range,2019,Drought: High Severity [Type],0.953733993,Normal,Iteration and Timestep,0.476866996
Mojave Basin and Range,2019,Drought: High Severity [Type],2.197782528,Normal,Iteration and Timestep,1.098891264
Klamath Mountains,2019,Drought: High Severity [Type],40.39082383,Normal,Iteration and Timestep,20.19541191
Northern Basin and Range,2019,Drought: High Severity [Type],0.164921929,Normal,Iteration and Timestep,0.082460965
Sonoran Basin and Range,2019,Drought: High Severity [Type],0.013145688,Normal,Iteration and Timestep,0.006572844
Coast Range,2020,Drought: High Severity [Type],27.36347983,Normal,Iteration and Timestep,13.68173992
Cascades,2020,Drought: High Severity [Type],0.595813426,Normal,Iteration and Timestep,0.297906713
Sierra Nevada,2020,Drought: High Severity [Type],66.05790184,Normal,Iteration and Timestep,33.02895092
California Chaparral and Oak Woodlands,2020,Drought: High Severity [Type],80.64055476,Normal,Iteration and Timestep,40.32027738
Central California Valley,2020,Drought: High Severity [Type],0.345863971,Normal,Iteration and Timestep,0.172931985
Southern California Mountains,2020,Drought: High Severity [Type],30.2352658,Normal,Iteration and Timestep,15.1176329
Eastern Cascades Slopes and Foothills,2020,Drought: High Severity [Type],2.44989879,Normal,Iteration and Timestep,1.224949395
Central Basin and Range,2020,Drought: High Severity [Type],1.877862068,Normal,Iteration and Timestep,0.938931034
Mojave Basin and Range,2020,Drought: High Severity [Type],9.509986232,Normal,Iteration and Timestep,4.754993116
Klamath Mountains,2020,Drought: High Severity [Type],59.37584102,Normal,Iteration and Timestep,29.68792051
Northern Basin and Range,2020,Drought: High Severity [Type],2.623849081,Normal,Iteration and Timestep,1.311924541
Sonoran Basin and Range,2020,Drought: High Severity [Type],0.12848233,Normal,Iteration and Timestep,0.064241165
Coast Range,2021,Drought: High Severity [Type],76.60933604,Normal,Iteration and Timestep,38.30466802
Cascades,2021,Drought: High Severity [Type],1.886370726,Normal,Iteration and Timestep,0.943185363
Sierra Nevada,2021,Drought: High Severity [Type],117.9514979,Normal,Iteration and Timestep,58.97574894
California Chaparral and Oak Woodlands,2021,Drought: High Severity [Type],131.3865355,Normal,Iteration and Timestep,65.69326777
Central California Valley,2021,Drought: High Severity [Type],0.637339731,Normal,Iteration and Timestep,0.318669866
Southern California Mountains,2021,Drought: High Severity [Type],26.11359294,Normal,Iteration and Timestep,13.05679647
Eastern Cascades Slopes and Foothills,2021,Drought: High Severity [Type],7.979326216,Normal,Iteration and Timestep,3.989663108
Central Basin and Range,2021,Drought: High Severity [Type],1.176886574,Normal,Iteration and Timestep,0.588443287
Mojave Basin and Range,2021,Drought: High Severity [Type],5.215529194,Normal,Iteration and Timestep,2.607764597
Klamath Mountains,2021,Drought: High Severity [Type],187.089597,Normal,Iteration and Timestep,93.54479851
Northern Basin and Range,2021,Drought: High Severity [Type],0.144169434,Normal,Iteration and Timestep,0.072084717
Sonoran Basin and Range,2021,Drought: High Severity [Type],0.036401934,Normal,Iteration and Timestep,0.018200967
Coast Range,2022,Drought: High Severity [Type],255.6101543,Normal,Iteration and Timestep,127.8050771
Cascades,2022,Drought: High Severity [Type],10.39732148,Normal,Iteration and Timestep,5.19866074
Sierra Nevada,2022,Drought: High Severity [Type],343.9385492,Normal,Iteration and Timestep,171.9692746
California Chaparral and Oak Woodlands,2022,Drought: High Severity [Type],342.2463444,Normal,Iteration and Timestep,171.1231722
Central California Valley,2022,Drought: High Severity [Type],1.510686752,Normal,Iteration and Timestep,0.755343376
Southern California Mountains,2022,Drought: High Severity [Type],96.13036845,Normal,Iteration and Timestep,48.06518422
Eastern Cascades Slopes and Foothills,2022,Drought: High Severity [Type],52.15058829,Normal,Iteration and Timestep,26.07529414
Central Basin and Range,2022,Drought: High Severity [Type],4.397079575,Normal,Iteration and Timestep,2.198539787
Mojave Basin and Range,2022,Drought: High Severity [Type],11.67100909,Normal,Iteration and Timestep,5.835504545
Klamath Mountains,2022,Drought: High Severity [Type],633.8896747,Normal,Iteration and Timestep,316.9448374
Northern Basin and Range,2022,Drought: High Severity [Type],2.386596203,Normal,Iteration and Timestep,1.193298101
Sonoran Basin and Range,2022,Drought: High Severity [Type],0.102510612,Normal,Iteration and Timestep,0.051255306
Coast Range,2023,Drought: High Severity [Type],622.1417006,Normal,Iteration and Timestep,311.0708503
Cascades,2023,Drought: High Severity [Type],36.31612764,Normal,Iteration and Timestep,18.15806382
Sierra Nevada,2023,Drought: High Severity [Type],902.0423881,Normal,Iteration and Timestep,451.021194
California Chaparral and Oak Woodlands,2023,Drought: High Severity [Type],491.9294504,Normal,Iteration and Timestep,245.9647252
Central California Valley,2023,Drought: High Severity [Type],2.665051143,Normal,Iteration and Timestep,1.332525572
Southern California Mountains,2023,Drought: High Severity [Type],47.77609081,Normal,Iteration and Timestep,23.88804541
Eastern Cascades Slopes and Foothills,2023,Drought: High Severity [Type],200.1061181,Normal,Iteration and Timestep,100.0530591
Central Basin and Range,2023,Drought: High Severity [Type],7.811673985,Normal,Iteration and Timestep,3.905836993
Mojave Basin and Range,2023,Drought: High Severity [Type],5.236134328,Normal,Iteration and Timestep,2.618067164
Klamath Mountains,2023,Drought: High Severity [Type],1613.118077,Normal,Iteration and Timestep,806.5590387
Northern Basin and Range,2023,Drought: High Severity [Type],2.924601415,Normal,Iteration and Timestep,1.462300707
Sonoran Basin and Range,2023,Drought: High Severity [Type],0.046806515,Normal,Iteration and Timestep,0.023403257
Coast Range,2024,Drought: High Severity [Type],118.1670282,Normal,Iteration and Timestep,59.08351412
Cascades,2024,Drought: High Severity [Type],2.784508846,Normal,Iteration and Timestep,1.392254423
Sierra Nevada,2024,Drought: High Severity [Type],91.02751886,Normal,Iteration and Timestep,45.51375943
California Chaparral and Oak Woodlands,2024,Drought: High Severity [Type],59.56307705,Normal,Iteration and Timestep,29.78153853
Central California Valley,2024,Drought: High Severity [Type],0.299676591,Normal,Iteration and Timestep,0.149838295
Southern California Mountains,2024,Drought: High Severity [Type],8.608714524,Normal,Iteration and Timestep,4.304357262
Eastern Cascades Slopes and Foothills,2024,Drought: High Severity [Type],16.30212003,Normal,Iteration and Timestep,8.151060016
Central Basin and Range,2024,Drought: High Severity [Type],1.290425091,Normal,Iteration and Timestep,0.645212546
Mojave Basin and Range,2024,Drought: High Severity [Type],0.693181449,Normal,Iteration and Timestep,0.346590724
Klamath Mountains,2024,Drought: High Severity [Type],289.0559045,Normal,Iteration and Timestep,144.5279523
Northern Basin and Range,2024,Drought: High Severity [Type],0.107954828,Normal,Iteration and Timestep,0.053977414
Sonoran Basin and Range,2024,Drought: High Severity [Type],0.017139567,Normal,Iteration and Timestep,0.008569784
Coast Range,2025,Drought: High Severity [Type],18.32998985,Normal,Iteration and Timestep,9.164994924
Cascades,2025,Drought: High Severity [Type],1.657956665,Normal,Iteration and Timestep,0.828978333
Sierra Nevada,2025,Drought: High Severity [Type],20.2836524,Normal,Iteration and Timestep,10.1418262
California Chaparral and Oak Woodlands,2025,Drought: High Severity [Type],14.46737209,Normal,Iteration and Timestep,7.233686047
Central California Valley,2025,Drought: High Severity [Type],0.061968777,Normal,Iteration and Timestep,0.030984389
Southern California Mountains,2025,Drought: High Severity [Type],3.920582202,Normal,Iteration and Timestep,1.960291101
Eastern Cascades Slopes and Foothills,2025,Drought: High Severity [Type],7.45123491,Normal,Iteration and Timestep,3.725617455
Central Basin and Range,2025,Drought: High Severity [Type],0.3350002,Normal,Iteration and Timestep,0.1675001
Mojave Basin and Range,2025,Drought: High Severity [Type],0.194086781,Normal,Iteration and Timestep,0.09704339
Klamath Mountains,2025,Drought: High Severity [Type],59.51684763,Normal,Iteration and Timestep,29.75842381
