StratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Coast Range,2017,Drought: High Severity [Type],3.621396513,Normal,Iteration and Timestep,1.810698256
Cascades,2017,Drought: High Severity [Type],3.228568044,Normal,Iteration and Timestep,1.614284022
Sierra Nevada,2017,Drought: High Severity [Type],97.92104211,Normal,Iteration and Timestep,48.96052106
California Chaparral and Oak Woodlands,2017,Drought: High Severity [Type],6.023003846,Normal,Iteration and Timestep,3.011501923
Central California Valley,2017,Drought: High Severity [Type],0.037653126,Normal,Iteration and Timestep,0.018826563
Southern California Mountains,2017,Drought: High Severity [Type],1.624396124,Normal,Iteration and Timestep,0.812198062
Eastern Cascades Slopes and Foothills,2017,Drought: High Severity [Type],54.05640125,Normal,Iteration and Timestep,27.02820063
Central Basin and Range,2017,Drought: High Severity [Type],3.88945513,Normal,Iteration and Timestep,1.944727565
Mojave Basin and Range,2017,Drought: High Severity [Type],4.079928012,Normal,Iteration and Timestep,2.039964006
Klamath Mountains,2017,Drought: High Severity [Type],77.20944527,Normal,Iteration and Timestep,38.60472264
Northern Basin and Range,2017,Drought: High Severity [Type],7.038183898,Normal,Iteration and Timestep,3.519091949
Sonoran Basin and Range,2017,Drought: High Severity [Type],0.010888395,Normal,Iteration and Timestep,0.005444198
Coast Range,2018,Drought: High Severity [Type],16.73948298,Normal,Iteration and Timestep,8.369741491
Cascades,2018,Drought: High Severity [Type],14.9102337,Normal,Iteration and Timestep,7.455116848
Sierra Nevada,2018,Drought: High Severity [Type],276.04649,Normal,Iteration and Timestep,138.023245
California Chaparral and Oak Woodlands,2018,Drought: High Severity [Type],42.73286186,Normal,Iteration and Timestep,21.36643093
Central California Valley,2018,Drought: High Severity [Type],0.195207238,Normal,Iteration and Timestep,0.097603619
Southern California Mountains,2018,Drought: High Severity [Type],59.08454069,Normal,Iteration and Timestep,29.54227034
Eastern Cascades Slopes and Foothills,2018,Drought: High Severity [Type],101.6637449,Normal,Iteration and Timestep,50.83187245
Central Basin and Range,2018,Drought: High Severity [Type],4.925587781,Normal,Iteration and Timestep,2.46279389
Mojave Basin and Range,2018,Drought: High Severity [Type],20.39144918,Normal,Iteration and Timestep,10.19572459
Klamath Mountains,2018,Drought: High Severity [Type],224.1787518,Normal,Iteration and Timestep,112.0893759
Northern Basin and Range,2018,Drought: High Severity [Type],9.185846547,Normal,Iteration and Timestep,4.592923274
Sonoran Basin and Range,2018,Drought: High Severity [Type],0.455727371,Normal,Iteration and Timestep,0.227863686
Coast Range,2019,Drought: High Severity [Type],662.1048074,Normal,Iteration and Timestep,331.0524037
Cascades,2019,Drought: High Severity [Type],91.72327175,Normal,Iteration and Timestep,45.86163588
Sierra Nevada,2019,Drought: High Severity [Type],840.7451471,Normal,Iteration and Timestep,420.3725735
California Chaparral and Oak Woodlands,2019,Drought: High Severity [Type],534.7230981,Normal,Iteration and Timestep,267.361549
Central California Valley,2019,Drought: High Severity [Type],2.830962,Normal,Iteration and Timestep,1.415481
Southern California Mountains,2019,Drought: High Severity [Type],67.66597301,Normal,Iteration and Timestep,33.83298651
Eastern Cascades Slopes and Foothills,2019,Drought: High Severity [Type],416.0545352,Normal,Iteration and Timestep,208.0272676
Central Basin and Range,2019,Drought: High Severity [Type],6.007940553,Normal,Iteration and Timestep,3.003970276
Mojave Basin and Range,2019,Drought: High Severity [Type],10.66898933,Normal,Iteration and Timestep,5.334494667
Klamath Mountains,2019,Drought: High Severity [Type],2533.868064,Normal,Iteration and Timestep,1266.934032
Northern Basin and Range,2019,Drought: High Severity [Type],14.5534387,Normal,Iteration and Timestep,7.276719351
Sonoran Basin and Range,2019,Drought: High Severity [Type],0.568751998,Normal,Iteration and Timestep,0.284375999
Coast Range,2020,Drought: High Severity [Type],1954.963313,Normal,Iteration and Timestep,977.4816564
Cascades,2020,Drought: High Severity [Type],185.4555792,Normal,Iteration and Timestep,92.7277896
Sierra Nevada,2020,Drought: High Severity [Type],1664.579174,Normal,Iteration and Timestep,832.2895868
California Chaparral and Oak Woodlands,2020,Drought: High Severity [Type],1307.278514,Normal,Iteration and Timestep,653.6392572
Central California Valley,2020,Drought: High Severity [Type],8.60394465,Normal,Iteration and Timestep,4.301972325
Southern California Mountains,2020,Drought: High Severity [Type],46.93576461,Normal,Iteration and Timestep,23.46788231
Eastern Cascades Slopes and Foothills,2020,Drought: High Severity [Type],786.0978759,Normal,Iteration and Timestep,393.048938
Central Basin and Range,2020,Drought: High Severity [Type],8.194610359,Normal,Iteration and Timestep,4.097305179
Mojave Basin and Range,2020,Drought: High Severity [Type],6.177170004,Normal,Iteration and Timestep,3.088585002
Klamath Mountains,2020,Drought: High Severity [Type],6020.634326,Normal,Iteration and Timestep,3010.317163
Northern Basin and Range,2020,Drought: High Severity [Type],25.6901328,Normal,Iteration and Timestep,12.8450664
Sonoran Basin and Range,2020,Drought: High Severity [Type],0.24265331,Normal,Iteration and Timestep,0.121326655
Coast Range,2021,Drought: High Severity [Type],387.1621402,Normal,Iteration and Timestep,193.5810701
Cascades,2021,Drought: High Severity [Type],88.32373916,Normal,Iteration and Timestep,44.16186958
Sierra Nevada,2021,Drought: High Severity [Type],744.2226336,Normal,Iteration and Timestep,372.1113168
California Chaparral and Oak Woodlands,2021,Drought: High Severity [Type],296.2933639,Normal,Iteration and Timestep,148.146682
Central California Valley,2021,Drought: High Severity [Type],2.317870971,Normal,Iteration and Timestep,1.158935485
Southern California Mountains,2021,Drought: High Severity [Type],7.258726178,Normal,Iteration and Timestep,3.629363089
Eastern Cascades Slopes and Foothills,2021,Drought: High Severity [Type],469.1148759,Normal,Iteration and Timestep,234.5574379
Central Basin and Range,2021,Drought: High Severity [Type],7.252086441,Normal,Iteration and Timestep,3.626043221
Mojave Basin and Range,2021,Drought: High Severity [Type],3.170888822,Normal,Iteration and Timestep,1.585444411
Klamath Mountains,2021,Drought: High Severity [Type],1656.231249,Normal,Iteration and Timestep,828.1156247
Northern Basin and Range,2021,Drought: High Severity [Type],26.16496459,Normal,Iteration and Timestep,13.0824823
Sonoran Basin and Range,2021,Drought: High Severity [Type],0.067643527,Normal,Iteration and Timestep,0.033821764
Coast Range,2022,Drought: High Severity [Type],11.54785485,Normal,Iteration and Timestep,5.773927425
Cascades,2022,Drought: High Severity [Type],13.09148319,Normal,Iteration and Timestep,6.545741594
Sierra Nevada,2022,Drought: High Severity [Type],105.0638794,Normal,Iteration and Timestep,52.53193972
California Chaparral and Oak Woodlands,2022,Drought: High Severity [Type],22.34888271,Normal,Iteration and Timestep,11.17444136
Central California Valley,2022,Drought: High Severity [Type],0.146253086,Normal,Iteration and Timestep,0.073126543
Southern California Mountains,2022,Drought: High Severity [Type],15.81553936,Normal,Iteration and Timestep,7.907769678
Eastern Cascades Slopes and Foothills,2022,Drought: High Severity [Type],72.74196044,Normal,Iteration and Timestep,36.37098022
Central Basin and Range,2022,Drought: High Severity [Type],2.547873498,Normal,Iteration and Timestep,1.273936749
Mojave Basin and Range,2022,Drought: High Severity [Type],2.00758069,Normal,Iteration and Timestep,1.003790345
Klamath Mountains,2022,Drought: High Severity [Type],110.0272827,Normal,Iteration and Timestep,55.01364137
Northern Basin and Range,2022,Drought: High Severity [Type],6.186435879,Normal,Iteration and Timestep,3.09321794
Sonoran Basin and Range,2022,Drought: High Severity [Type],0.295214881,Normal,Iteration and Timestep,0.14760744
Coast Range,2023,Drought: High Severity [Type],50.67208314,Normal,Iteration and Timestep,25.33604157
Cascades,2023,Drought: High Severity [Type],11.29405423,Normal,Iteration and Timestep,5.647027117
Sierra Nevada,2023,Drought: High Severity [Type],412.5626194,Normal,Iteration and Timestep,206.2813097
California Chaparral and Oak Woodlands,2023,Drought: High Severity [Type],82.99016989,Normal,Iteration and Timestep,41.49508494
Central California Valley,2023,Drought: High Severity [Type],0.612739113,Normal,Iteration and Timestep,0.306369556
Southern California Mountains,2023,Drought: High Severity [Type],18.72233555,Normal,Iteration and Timestep,9.361167775
Eastern Cascades Slopes and Foothills,2023,Drought: High Severity [Type],50.84518329,Normal,Iteration and Timestep,25.42259164
Central Basin and Range,2023,Drought: High Severity [Type],10.36653654,Normal,Iteration and Timestep,5.183268268
Mojave Basin and Range,2023,Drought: High Severity [Type],1.557931518,Normal,Iteration and Timestep,0.778965759
