Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,California Chaparral and Oak Woodlands,,Fire,619.1846,Normal,Iteration and Timestep,388.8266134,230.3579866,1008.011213
2018,California Chaparral and Oak Woodlands,,Fire,660.0438,Normal,Iteration and Timestep,367.1885248,292.8552752,1027.232325
2019,California Chaparral and Oak Woodlands,,Fire,762.0304,Normal,Iteration and Timestep,403.140298,358.890102,1165.170698
2020,California Chaparral and Oak Woodlands,,Fire,562.0041,Normal,Iteration and Timestep,393.7693369,168.2347631,955.7734369
2021,California Chaparral and Oak Woodlands,,Fire,727.8541,Normal,Iteration and Timestep,471.0030451,256.8510549,1198.857145
2022,California Chaparral and Oak Woodlands,,Fire,764.3533,Normal,Iteration and Timestep,413.8587183,350.4945817,1178.212018
2023,California Chaparral and Oak Woodlands,,Fire,684.0253,Normal,Iteration and Timestep,358.3380591,325.6872409,1042.363359
2024,California Chaparral and Oak Woodlands,,Fire,675.8784,Normal,Iteration and Timestep,369.8817604,305.9966396,1045.76016
2025,California Chaparral and Oak Woodlands,,Fire,696.321,Normal,Iteration and Timestep,386.0873671,310.2336329,1082.408367
2026,California Chaparral and Oak Woodlands,,Fire,620.3103,Normal,Iteration and Timestep,348.9991532,271.3111468,969.3094532
2027,California Chaparral and Oak Woodlands,,Fire,709.1137,Normal,Iteration and Timestep,396.4038314,312.7098686,1105.517531
2028,California Chaparral and Oak Woodlands,,Fire,773.0237,Normal,Iteration and Timestep,420.160101,352.863599,1193.183801
2029,California Chaparral and Oak Woodlands,,Fire,782.0753,Normal,Iteration and Timestep,367.9611159,414.1141841,1150.036416
2030,California Chaparral and Oak Woodlands,,Fire,512.8038,Normal,Iteration and Timestep,313.5666301,199.2371699,826.3704301
2031,California Chaparral and Oak Woodlands,,Fire,678.1786,Normal,Iteration and Timestep,363.8651336,314.3134664,1042.043734
2032,California Chaparral and Oak Woodlands,,Fire,658.9516,Normal,Iteration and Timestep,330.6735481,328.2780519,989.6251481
2033,California Chaparral and Oak Woodlands,,Fire,760.5814,Normal,Iteration and Timestep,453.1452864,307.4361136,1213.726686
2034,California Chaparral and Oak Woodlands,,Fire,623.2519,Normal,Iteration and Timestep,317.3621491,305.8897509,940.6140491
2035,California Chaparral and Oak Woodlands,,Fire,691.4146,Normal,Iteration and Timestep,435.1827782,256.2318218,1126.597378
2036,California Chaparral and Oak Woodlands,,Fire,668.4922,Normal,Iteration and Timestep,446.1621869,222.3300131,1114.654387
2037,California Chaparral and Oak Woodlands,,Fire,645.0761,Normal,Iteration and Timestep,293.7024921,351.3736079,938.7785921
2038,California Chaparral and Oak Woodlands,,Fire,566.3978,Normal,Iteration and Timestep,383.2218579,183.1759421,949.6196579
2039,California Chaparral and Oak Woodlands,,Fire,692.79,Normal,Iteration and Timestep,436.5241244,256.2658756,1129.314124
2040,California Chaparral and Oak Woodlands,,Fire,872.1864,Normal,Iteration and Timestep,491.6072107,380.5791893,1363.793611
2041,California Chaparral and Oak Woodlands,,Fire,572.4044,Normal,Iteration and Timestep,339.862584,232.541816,912.266984
2042,California Chaparral and Oak Woodlands,,Fire,654.9414,Normal,Iteration and Timestep,392.9987705,261.9426295,1047.940171
2043,California Chaparral and Oak Woodlands,,Fire,727.9096,Normal,Iteration and Timestep,411.1058957,316.8037043,1139.015496
2044,California Chaparral and Oak Woodlands,,Fire,639.7537,Normal,Iteration and Timestep,387.7845171,251.9691829,1027.538217
2045,California Chaparral and Oak Woodlands,,Fire,633.2243,Normal,Iteration and Timestep,373.3597534,259.8645466,1006.584053
2046,California Chaparral and Oak Woodlands,,Fire,579.8326,Normal,Iteration and Timestep,429.0424518,150.7901482,1008.875052
2047,California Chaparral and Oak Woodlands,,Fire,839.7605,Normal,Iteration and Timestep,434.520354,405.240146,1274.280854
2048,California Chaparral and Oak Woodlands,,Fire,818.6062,Normal,Iteration and Timestep,546.7338027,271.8723973,1365.340003
2049,California Chaparral and Oak Woodlands,,Fire,637.1024,Normal,Iteration and Timestep,371.9334272,265.1689728,1009.035827
2050,California Chaparral and Oak Woodlands,,Fire,712.9826,Normal,Iteration and Timestep,345.3291112,367.6534888,1058.311711
2051,California Chaparral and Oak Woodlands,,Fire,538.3363,Normal,Iteration and Timestep,305.7055558,232.6307442,844.0418558
2052,California Chaparral and Oak Woodlands,,Fire,1140.3708,Normal,Iteration and Timestep,582.9850619,557.3857381,1723.355862
2053,California Chaparral and Oak Woodlands,,Fire,663.2751,Normal,Iteration and Timestep,330.5652197,332.7098803,993.8403197
2054,California Chaparral and Oak Woodlands,,Fire,751.0619,Normal,Iteration and Timestep,427.2238063,323.8380937,1178.285706
2055,California Chaparral and Oak Woodlands,,Fire,658.9842,Normal,Iteration and Timestep,354.7967742,304.1874258,1013.780974
2056,California Chaparral and Oak Woodlands,,Fire,661.1129,Normal,Iteration and Timestep,356.2580255,304.8548745,1017.370926
