Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,California Chaparral and Oak Woodlands,,Fire,711.7697,Normal,Iteration and Timestep,395.5800243,316.1896757,1107.349724
2018,California Chaparral and Oak Woodlands,,Fire,918.5836,Normal,Iteration and Timestep,608.7557271,309.8278729,1527.339327
2019,California Chaparral and Oak Woodlands,,Fire,425.0461,Normal,Iteration and Timestep,277.4176611,147.6284389,702.4637611
2020,California Chaparral and Oak Woodlands,,Fire,818.8375,Normal,Iteration and Timestep,366.8779885,451.9595115,1185.715489
2021,California Chaparral and Oak Woodlands,,Fire,434.4699,Normal,Iteration and Timestep,282.7136627,151.7562373,717.1835627
2022,California Chaparral and Oak Woodlands,,Fire,605.1525,Normal,Iteration and Timestep,418.6316522,186.5208478,1023.784152
2023,California Chaparral and Oak Woodlands,,Fire,561.94,Normal,Iteration and Timestep,375.2601128,186.6798872,937.2001128
2024,California Chaparral and Oak Woodlands,,Fire,491.2146,Normal,Iteration and Timestep,290.0447865,201.1698135,781.2593865
2025,California Chaparral and Oak Woodlands,,Fire,863.8493,Normal,Iteration and Timestep,462.635752,401.213548,1326.485052
2026,California Chaparral and Oak Woodlands,,Fire,829.817,Normal,Iteration and Timestep,480.892255,348.924745,1310.709255
2027,California Chaparral and Oak Woodlands,,Fire,767.8508,Normal,Iteration and Timestep,450.9432308,316.9075692,1218.794031
2028,California Chaparral and Oak Woodlands,,Fire,651.0698,Normal,Iteration and Timestep,406.0439101,245.0258899,1057.11371
2029,California Chaparral and Oak Woodlands,,Fire,719.2399,Normal,Iteration and Timestep,460.8742978,258.3656022,1180.114198
2030,California Chaparral and Oak Woodlands,,Fire,998.9715,Normal,Iteration and Timestep,524.4117117,474.5597883,1523.383212
2031,California Chaparral and Oak Woodlands,,Fire,1198.3272,Normal,Iteration and Timestep,646.4614921,551.8657079,1844.788692
2032,California Chaparral and Oak Woodlands,,Fire,694.9305,Normal,Iteration and Timestep,549.5228585,145.4076415,1244.453359
2033,California Chaparral and Oak Woodlands,,Fire,815.6884,Normal,Iteration and Timestep,610.0352094,205.6531906,1425.723609
2034,California Chaparral and Oak Woodlands,,Fire,732.3954,Normal,Iteration and Timestep,471.7408165,260.6545835,1204.136217
2035,California Chaparral and Oak Woodlands,,Fire,1000.0215,Normal,Iteration and Timestep,635.2406534,364.7808466,1635.262153
2036,California Chaparral and Oak Woodlands,,Fire,872.1572,Normal,Iteration and Timestep,601.2368371,270.9203629,1473.394037
2037,California Chaparral and Oak Woodlands,,Fire,798.5157,Normal,Iteration and Timestep,501.5916209,296.9240791,1300.107321
2038,California Chaparral and Oak Woodlands,,Fire,839.5868,Normal,Iteration and Timestep,416.8618904,422.7249096,1256.44869
2039,California Chaparral and Oak Woodlands,,Fire,694.0374,Normal,Iteration and Timestep,442.335196,251.702204,1136.372596
2040,California Chaparral and Oak Woodlands,,Fire,727.9149,Normal,Iteration and Timestep,480.4406095,247.4742905,1208.35551
2041,California Chaparral and Oak Woodlands,,Fire,709.2434,Normal,Iteration and Timestep,381.1634399,328.0799601,1090.40684
2042,California Chaparral and Oak Woodlands,,Fire,785.7021,Normal,Iteration and Timestep,454.8095156,330.8925844,1240.511616
2043,California Chaparral and Oak Woodlands,,Fire,462.9431,Normal,Iteration and Timestep,238.8271584,224.1159416,701.7702584
2044,California Chaparral and Oak Woodlands,,Fire,1181.5868,Normal,Iteration and Timestep,531.7991631,649.7876369,1713.385963
2045,California Chaparral and Oak Woodlands,,Fire,766.3091,Normal,Iteration and Timestep,464.9684872,301.3406128,1231.277587
2046,California Chaparral and Oak Woodlands,,Fire,861.3599,Normal,Iteration and Timestep,487.8781595,373.4817405,1349.23806
2047,California Chaparral and Oak Woodlands,,Fire,870.5306,Normal,Iteration and Timestep,390.7034201,479.8271799,1261.23402
2048,California Chaparral and Oak Woodlands,,Fire,605.5772,Normal,Iteration and Timestep,399.5550909,206.0221091,1005.132291
2049,California Chaparral and Oak Woodlands,,Fire,877.2976,Normal,Iteration and Timestep,401.0456765,476.2519235,1278.343277
2050,California Chaparral and Oak Woodlands,,Fire,665.18,Normal,Iteration and Timestep,333.3853112,331.7946888,998.5653112
2051,California Chaparral and Oak Woodlands,,Fire,753.4012,Normal,Iteration and Timestep,389.2089048,364.1922952,1142.610105
2052,California Chaparral and Oak Woodlands,,Fire,756.8951,Normal,Iteration and Timestep,465.717824,291.177276,1222.612924
2053,California Chaparral and Oak Woodlands,,Fire,836.937,Normal,Iteration and Timestep,502.2746126,334.6623874,1339.211613
2054,California Chaparral and Oak Woodlands,,Fire,845.6878,Normal,Iteration and Timestep,527.597946,318.089854,1373.285746
2055,California Chaparral and Oak Woodlands,,Fire,1304.8791,Normal,Iteration and Timestep,625.3247401,679.5543599,1930.20384
2056,California Chaparral and Oak Woodlands,,Fire,1051.2492,Normal,Iteration and Timestep,588.7348071,462.5143929,1639.984007
2057,California Chaparral and Oak Woodlands,,Fire,1222.4067,Normal,Iteration and Timestep,556.0437985,666.3629015,1778.450499
