Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,California Chaparral and Oak Woodlands,,Fire,600.5012,Normal,Iteration and Timestep,312.9574608,287.5437392,913.4586608
2018,California Chaparral and Oak Woodlands,,Fire,717.6438,Normal,Iteration and Timestep,461.8925485,255.7512515,1179.536349
2019,California Chaparral and Oak Woodlands,,Fire,813.012,Normal,Iteration and Timestep,525.5563309,287.4556691,1338.568331
2020,California Chaparral and Oak Woodlands,,Fire,642.2004,Normal,Iteration and Timestep,329.533073,312.667327,971.733473
2021,California Chaparral and Oak Woodlands,,Fire,837.79,Normal,Iteration and Timestep,492.8349177,344.9550823,1330.624918
2022,California Chaparral and Oak Woodlands,,Fire,570.6686,Normal,Iteration and Timestep,283.7388034,286.9297966,854.4074034
2023,California Chaparral and Oak Woodlands,,Fire,484.6683,Normal,Iteration and Timestep,302.1283971,182.5399029,786.7966971
2024,California Chaparral and Oak Woodlands,,Fire,645.1251,Normal,Iteration and Timestep,395.783945,249.341155,1040.909045
2025,California Chaparral and Oak Woodlands,,Fire,734.57,Normal,Iteration and Timestep,355.8969814,378.6730186,1090.466981
2026,California Chaparral and Oak Woodlands,,Fire,870.2566,Normal,Iteration and Timestep,411.2899383,458.9666617,1281.546538
2027,California Chaparral and Oak Woodlands,,Fire,1041.5284,Normal,Iteration and Timestep,526.4605027,515.0678973,1567.988903
2028,California Chaparral and Oak Woodlands,,Fire,501.558,Normal,Iteration and Timestep,277.5929283,223.9650717,779.1509283
2029,California Chaparral and Oak Woodlands,,Fire,710.4752,Normal,Iteration and Timestep,414.3943771,296.0808229,1124.869577
2030,California Chaparral and Oak Woodlands,,Fire,647.4218,Normal,Iteration and Timestep,338.133773,309.288027,985.555573
2031,California Chaparral and Oak Woodlands,,Fire,702.1083,Normal,Iteration and Timestep,447.1503023,254.9579977,1149.258602
2032,California Chaparral and Oak Woodlands,,Fire,629.2558,Normal,Iteration and Timestep,395.0650811,234.1907189,1024.320881
2033,California Chaparral and Oak Woodlands,,Fire,738.1867,Normal,Iteration and Timestep,463.9241828,274.2625172,1202.110883
2034,California Chaparral and Oak Woodlands,,Fire,962.0027,Normal,Iteration and Timestep,424.780215,537.222485,1386.782915
