Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,California Chaparral and Oak Woodlands,,Fire,936.5271,Normal,Iteration and Timestep,467.3375073,469.1895927,1403.864607
2018,California Chaparral and Oak Woodlands,,Fire,727.2858,Normal,Iteration and Timestep,420.3207408,306.9650592,1147.606541
2019,California Chaparral and Oak Woodlands,,Fire,621.6562,Normal,Iteration and Timestep,345.2800509,276.3761491,966.9362509
2020,California Chaparral and Oak Woodlands,,Fire,641.9303,Normal,Iteration and Timestep,422.7415032,219.1887968,1064.671803
2021,California Chaparral and Oak Woodlands,,Fire,511.1369,Normal,Iteration and Timestep,371.5428883,139.5940117,882.6797883
2022,California Chaparral and Oak Woodlands,,Fire,755.6961,Normal,Iteration and Timestep,399.6585974,356.0375026,1155.354697
2023,California Chaparral and Oak Woodlands,,Fire,905.1982,Normal,Iteration and Timestep,523.8120724,381.3861276,1429.010272
2024,California Chaparral and Oak Woodlands,,Fire,691.3078,Normal,Iteration and Timestep,360.8562202,330.4515798,1052.16402
2025,California Chaparral and Oak Woodlands,,Fire,667.2779,Normal,Iteration and Timestep,353.847646,313.430254,1021.125546
2026,California Chaparral and Oak Woodlands,,Fire,592.5061,Normal,Iteration and Timestep,357.1162139,235.3898861,949.6223139
2027,California Chaparral and Oak Woodlands,,Fire,614.6533,Normal,Iteration and Timestep,426.8477575,187.8055425,1041.501058
2028,California Chaparral and Oak Woodlands,,Fire,583.6345,Normal,Iteration and Timestep,354.7623,228.8722,938.3968
2029,California Chaparral and Oak Woodlands,,Fire,710.1398,Normal,Iteration and Timestep,386.9788926,323.1609074,1097.118693
2030,California Chaparral and Oak Woodlands,,Fire,731.6094,Normal,Iteration and Timestep,400.7583866,330.8510134,1132.367787
2031,California Chaparral and Oak Woodlands,,Fire,843.1755,Normal,Iteration and Timestep,498.0886849,345.0868151,1341.264185
2032,California Chaparral and Oak Woodlands,,Fire,637.4347,Normal,Iteration and Timestep,330.1918907,307.2428093,967.6265907
2033,California Chaparral and Oak Woodlands,,Fire,569.7278,Normal,Iteration and Timestep,371.4388712,198.2889288,941.1666712
